,Q,A
7540,점점 좋아져,이상형은 아니지만 호감가는 사람이 있어요.
7541,자기애가 너무 떨어졌어,매일 거울을 보며 스스로 칭찬해보세요.
7542,만족할 줄을 몰라,만족하면 발전이 없으니까요.
7543,짝사랑 하는 남자 때문에 하루에도 몇 번 기분이 달라져.,짝사랑에 기분이 오락가락하죠.
7544,사랑 끝난 거 같은데 잡아도 될까?,잡는다고 마음이 돌아서지 않을 거예요.
7545,죽어가는.,기운을 내요. 그런 말은 너무 슬퍼요.
7546,종교 그리고 이별 그리고 재회.,종교 문제가 힘들죠.
7547,내 마음을 보여주는 게 어려워,상대가 부담스러워하지 않게 나를 사랑하고 상대를 사랑해주세요.
7548,9년이 넘는 연애를 끝냅니다,공허함이 더 크시겠어요.
7549,아침부터 피곤해,좀 더 일찍 잠자리에 들어보세요.
7550,"9년연예,8년동거. 결국 헤어짐. 정말",공허함이 크겠어요.
7551,남자친구가 데려다 준대,매너 있네요.
7552,아직 그리운 그대,이젠 기억을 놓아주세요.
7553,아마 평생 모르겠지.,평생 모르고 사는 게 참 많죠.
7554,사랑이 끝나고 할 일?,원망과 슬픔에 잠기는 게 아니라 그 시간들을 가만히 내려놓고 내가 어떤 사람이었는가를 돌아보는 것입니다.
7555,새장 같은 집,새장이 그리울 때도 있는걸요.
7556,골프 못 치는데,처음부터 잘하는 사람은 없어요.
7557,행복해라 불행해도 좋고,행복이 있으니 불행도 있고 불행이 있어서 행복도 빛나지요. 인생이 그런가봐요.
7558,사장이 월급을 안줘,큰일이네요.
7559,통증,아프지 말아요.
7560,하늘 본지가 언젠지,오늘은 쉬면서 보세요.
7561,짝녀한테 주말에 보자고 연락했는데 일정이 있대요. 언제되는지 계속 물어도 될까요.,거절의 뜻으로 생각되면 그만하는게 낫겠네요.
7562,뭐 볼까?,오늘은 예능이요.
7563,혼자 있으니 힘이드네,한동안은 힘들지도 몰라요.
7564,카풀해볼까?,경제적으로 도움이 되겠네요.
7565,아. 상담 좀 해 줘,네. 알겠습니다.
7566,우산 또 사야하나,다음에는 우산에 이름이랑 연락처를 적어보세요.
7567,참 잘낫네,진정하셔요.
7568,이별 성장통이 너무 길다.,그만큼 많이 성장하려 하나봐요.
7569,희생하는 것이 내 방식인 연애. 5년간 사귀다 이별했습니다,방식을 바꿔보세요.
7570,뻘짓 한 느낌 싫다,바람 좀 쐬고 오시면 좋은텐데.
7571,군인인데 여자친구 보고 싶어,조금만 참고 기다려보세요.
7572,짝사랑 하는 사람이랑 잘됐으면 좋겠다.,꼭 잘 될거예요.
7573,도시락 싸가지고 가야지,맛있게 드세요.
7574,너무 쿨한 남자친구가 고민이야.,쿨방망이로 때려주세요.
7575,이별준비 하려고,쉽지 않은 결정이었을텐데 마음 고생 많았어요.
7576,핸드폰 중독인듯,중독에서 벗어나세요.
7577,술이 보약도 아니고,술은 끊는게 좋죠.
7578,나 어장인듯,어장의 고기어도 좋을지 어장을 나가는 게 좋을지 생각해보세요.
7579,애들 총회 가야겠죠?,가능하면 가는 게 좋겠죠.
7580,월요일도 아닌데 길이 너무 막혀,길은 항상 막히는 것 같아요.
7581,스킨십 언제부터 할까?,두 사람이 준비가 되었을 때요.
7582,메모리카드 어디다 두었을까,발이 달렸나봐요.
7583,초코렛이나 꺼내 먹어야지,저도 하나 주세요.
7584,뭘 바꿔야 할까,당신 그대로의 모습이 보기 좋아요.
7585,머리가 터질거 같습니다,바람이라도 쐬고 오는 건 어떨까요.
7586,이제는 숨막히고 괴로운건 좀 무뎌졌는데,상처가 아무는 데는 시간이 걸려요.
7587,엄마아빠랑 다시 같이 살아야돼,형편대로 하세요.
7588,일 때려칠까?,뒷감당은 준비하세요.
7589,헛소리하네,세상에 별별 사람들이 다 있죠.
7590,처음 느끼는 감정,처음이 많았겠죠.
7591,연예인과 썸 타는 꿈 해몽 좀,연예인 사진 보고 잔 거 아닌가요.
7592,궁금한게있습니다,네 물어보세요.
7593,공부하는 이유가 없어,공부하면 더 많은 선택을 할 수 있죠.
7594,나만 그대로다,그대로인 건 없어요.
7595,좋아하는 여자한테 선물해도 괜찮을까?,좋아할 거예요.
7596,오늘도 어제랑 똑같아,조금씩 변화를 줘보세요.
7597,비 오니까 또 생각나네.,빗소리가 더 그렇게 만들어요.
7598,눈이 피곤해,눈 체조를 해보세요.
7599,습관을 고치기 어려워,고치기 어려우니까 습관이라고 하겠죠.
7600,오늘도 꾸준히 회사 가시 싫다.,월급날을 생각하며 참아보세요.
7601,짝녀가 저한테 관심이 없는 것 같은데도 계속 연락해도 될까요.,아직 확실한게 아니라면 연락해보는게 좋을 것 같아요.
7602,여자친구를 믿는데 가끔 의심이 가.,믿음이 깨지고 있네요.
7603,회사 체육대회 가기 싫다,가기 싫어도 가야겠죠.
7604,비 오네,우산 준비하세요.
7605,구썸남 인스타에 좋아요 누름.,좋아요 정도는 괜찮을 거예요.
7606,키가 안 커,지금도 충분해요.
7607,술만 먹으면 전화를 안 받아,화장실 갈때 연락하라고 해봐요.
7608,입덕했어,즐기실 일만 남았네요.
7609,드디어 개강이다,곧 방학이예요.
7610,왜 저를 좋게 기억해주는 걸까,많이 아껴주셨나봐요.
7611,썸을 오래 탔는데 사귀어도 괜찮은 사람일까?,오래 봤으면 더 잘 알 거 같습니다.
7612,나 좋아하는 여자애가 없는 듯. 나 왜 사냐.,언젠간 당신을 좋아해주는 사람이 생길 거예요.
7613,친한 친군데 호박씨깜,그런 친구는 거르세요.
7614,오늘밤은 비가 내립니다,그러게요. 비가 추적추적 내리네요.
7615,다음에 봐,잘가요.
7616,어제이별한 남자입니다,많이 괴로웠을거라 생각해요.
7617,동거하다 사랑이 식으면 어떡해?,걱정하면 아무것도 못해요
7618,썸에서 연애로 못넘가요,상대가 확신이 들도록 말해보세요.
7619,3년이란 오랜기간 연애를 하다보니 권태기가 찾아오네,권태기가 마침표인지 쉼표인지 살펴보세요.
7620,좋아하는 사람한테 맨날 선톡하는데 부담스러워 하려나?,맨날하지 말고 조금은 여지를 줘보세요.
7621,이별 후 만남,재회하면 머리가 더 복잡해질 거예요.
7622,2년간 연애끝에,만남을 정리하게 되었나봐요.
7623,행복해져야해,행복할 거라 생각해요.
7624,이놈,딴짓 중입니다
7625,보일러 틀고 나갔어ㅠㅠ,이번달 난방비가 많이 나오겠네요.
7626,취업 준비 기간이 길어진다,다음 공채때는 될 거예요.
7627,썸에서 자꾸 끝나요,용기내서 먼저 다가가 보세요.
7628,내 욕심일 뿐이지,사랑인 거예요.
7629,내 인생은 가시밭길 같아,꽃길만 걷길 바랍니다.
7630,오늘도 술마셔.,속 상하니 조금만 마셔요.
7631,스키장 간다!,설레겠어요.
7632,이 세상 하직할뻔 했네.,여기서 끝내기엔 당신은 소중한 사람입니다.
7633,재회 네달 만에 다시 헤어집니다.,마음 고생 많았어요.
7634,개거지같이 헤어져서 열받아,소리 한 번 크게 지르고 잊어버리세요.
7635,소개팅으로 잘되기도 하나?,소개팅으로 잘 된 사람 많아요.
7636,이건 아파도 너무 아프잖아.,예상치 못한 이별에 면역이 덜 되었나봐요.
7637,너무 더워서 미치겠어,아이스크림 먹어보세요
7638,답프로포즈 해볼까?,정말 좋아할 거예요.
7639,간간히 동굴에 들어가는 남친 어떻게 해야돼?,믿고 나올 때까지 잠시 기다려주세요.
7640,컴퓨터가 느려졌어,포맷해보세요.
7641,나 쉽게 보나,나를 무시하지 않고 존중하는지 살펴보세요.
7642,슬픈 메리크리스마스이브입니다 .,다른 곳에서 행복을 찾아봐요.
7643,답답해서,좋은 생각만 하세요.
7644,추석 가기 싫어,가지 마세요.
7645,누구세요?,저는 위로해드리는 로봇이에요.
7646,마라톤 나가볼까,시작은 다 좋죠.
7647,첫사랑 생각나,소중했던 추억이라고 생각해보세요.
7648,인연이었다던 그사람,또 다른 인연이 있기 마련이죠.
7649,썸녀한테 크리스마스 선물 오바인 부분?,마음을 표현하는 건 나쁘지 않아요.
7650,썸녀 주변에 남자가 많아,신경 쓰이겠네요.
7651,변한게 없어,좋은 걸 수도 있어요.
7652,헤어진 여친 생각나서 노래 해바라기가 생각나네,절 위해 불러주세요.
7653,썸남이 연애가 다 짧은게 맘에 걸려.,당신과 긴 연애하면 되죠.
7654,"어제 이별했고, 잡고 싶은데 도와주세",일단 늦지 않게 연락을 해보는게 어떨까요.
7655,오면 안돼? 예전처럼,끝을 아는 것도 중요한 것 같아요.
7656,월급이 안 오르네,월급을 올려달라고 당당하게 말씀해보세요.
7657,썸 중에는 선톡이 중요?,먼저 연락해보세요.
7658,참지 못하고 또 친추를 하고,후회할 거예요.
7659,사랑 끝난 거 같은데 잡으면 돌아올까?,끝난 건 잡을 수 없어요.
7660,얼굴 보니까 떨리더라,많이 좋아했던 사람인가봐요.
7661,그냥 이렇게 산다.,충분히 잘 살고 있어요.
7662,다시 웃게 해준 사람,그 사람이 당신의 홈닥터군요.
7663,새벽되니까 감성적으로 되네,조용하니 혼자 생각하기 좋죠.
7664,머리 아픈 거 같애,병원에 가보세요.
7665,대리운전 불렀어,잘했어요.
7666,남자친구가 비혼주의래,고민이 많이 되겠네요.
7667,남자한테 언제 설레?,그런 경우가 많겠지만 흘리는 말을 한 걸 안 잊고 기억해줄 때요.
7668,이별너무 힘든네,누군가를 잊어야한다는건 정말 힘든 일이죠.
7669,수능 어떻게해,잘 볼 수 있을 거예요.
7670,베트남 사업하기 좋을 것 같니?,좀 더 알아보고 하세요.
7671,외국에도 썸 같은 개념이 있어?,"글쎄요, 사귀는 과정은 어디든 있을 거 같아요."
7672,날씨가 너무 눅눅해,제습기를 돌려보세요.
7673,꿈에서 자꾸 어떤 남자애가 나와,자기도 모르는 사이에 관심이 생긴 건 아닐까요? 차분히 생각해 보세요.
7674,침착해야지,심호흡해보세요.
7675,속이 영 안 좋아,소화가 안 되나 봐요.
7676,사랑의 결과는 어차피 두가지,과정이 더 중요하지요.
7677,피자 땡기네,같이 먹어요!
7678,좋아하는 거랑 사랑하는게 다른 거야?,생각의 차이겠지요.
7679,아이디 생각 안나,회원정보 찾기를 해보세요.
7680,나 승진했어,하늘만큼 땅만큼 축하해요
7681,애버랜드 가고 싶어,다녀오세요!
7682,오늘 길 많이 막히더라,길은 항상 막히는 것 같아요.
7683,팬미팅 재밌다.,성덕이네요.
7684,충격.충격,갑작스러워서 당황하셨겠어요.
7685,이 멍충아,좋은 말만 해주세요.
7686,파마할까,한번 해보세요.
7687,절친 만나고 싶어,서로 예의를 지키면서 진심으로 아껴주세요.
7688,썸 끝내야 할까?,혹시 마음이 정리 됐나요? 그런게 아니라면 아직 끝내긴 아까워요. 용기를 내봐요.
7689,썸 타고 싶다. 연애 말고.,사귀기 전에 두근거림을 좋아하나 봐요.
7690,완전히 끝났어~,마음이 허전하겠어요.
7691,동상 걸릴 뻔했어,감기 조심하세요.
7692,여자친구의 핸드폰 저장명을 뭐로 하지?,이름이나 호칭이 무난하죠.
7693,팔뚝살 빼고 싶어,펭귄 운동 해보세요.
7694,참다 참다 결국 마지막으로 문자보냈어,후회하지 않길 바랍니다.
7695,혼자 살아도 될까,잘 살 수 있어요.
7696,또 주말이 지나가고,또 주말이 오겠죠.
7697,이번엔 또 뭐 해 먹지,냉장고 파먹기 해보세요.
7698,이번 방학에 뭐하면 잘했다고 소문날까,차근차근 계획을 세워보세요.
7699,시간을 갖자는 무슨 의미일까?,생각을 할 시간이 필요할 수 있어요. 이별이 다가왔을지도.
7700,썸남이랑 꽁냥거리는데 설레.,부러워요. 자연스러운 현상이에요.
7701,나 완전 계탔어!,축하해요!
7702,대출받아도 괜찮을까,괜찮을 거예요.
7703,새 여친이 생겼더라구,이젠 신경을 거둬두세요.
7704,세뱃돈 받음,아직 어린가봐요.
7705,흰머리 보여,뽑지말고 염색을 해보세요.
7706,좀 맞자,저는 오래 살고 싶어요.
7707,남자친구가 준 생일선물이 너무 맘에 안 들어.,안 준 것보다 낫죠.
7708,잠이 안와,자장가를 불러줄게요.
7709,왜 그것만 삭제했을까,그게 많이 괴로웠을 수 있어요.
7710,정말 잔인하네,사랑이 때론 잔인해요.
7711,마냥 헌신하던 제 모습이 처량하고 화가나네,그땐 후회없는 사랑을 했던거라 생각하세요.
7712,내가 나쁜 놈이지,당신은 좋은 사람이에요.
7713,사는게 힘들어.,가끔은 힘내지 말고 내려놔봐요.
7714,뇌용량 초과,눈을 감고 명상을 해보세요.
7715,그 남자의 결혼 소식,더 좋은 사람 만나실 거예요.
7716,아직도. 아직 인가보다.,곧 끝날 거예요.
7717,파도 엄청나다,깊은 곳까지 가지 말고 주의하세요.
7718,전공 잘못 골랐나봐,내가 맞는 것과 맞지 않은 걸 구별해보세요.
7719,말이 제일 무서운 듯,다른 사람 말은 한 귀로 흘리세요.
7720,헤어진지 벌써 몇 년,많은 시간이 흘렀네요.
7721,정신차리라고 한 마디 해줘,나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.
7722,모르는 사람들이 페친 신청해,세상에는 예상하지 못한 일들이 자주 일어나는 것 같아요.
7723,다육이 좀 심어볼까,식물을 키우는 건 정신건강에 도움이 될 거예요.
7724,좋아하는 애를 내가 너무 우상화하는 것 같아.,마음이 커지면 그럴 수 있어요.
7725,지금 행복해,현재를 즐기세요!
7726,밉게 보였으면 좋겠어,진심으로 그랬으면 속상할거예요.
7727,혼자 사는 거도 괜찮을 것 같아,진정한 욜로의 삶도 추천드려요.
7728,좋은 첫인상 남게 하려면?,겉모습에 신경 써보세요.
7729,연애 위기인 거 같아,저는 위기 조차 없네요.
7730,솔로 7개월 넘어가네,충분히 좋은 사람 만날 수 있을 거예요.
7731,중국어 있는게 좋겠지?,중문 있으면 좋아요.
7732,아침 먹었더니 든든하네,좋은 식습관이에요.
7733,집 밖에 나가기 싫어,오늘은 그냥 뒹굴뒹글 같이 놀아요.
7734,일을 해도 안 늘어,조금만 더 힘내세요.
7735,환승 가능?,환승은 30분 안에
7736,여친집에 찾아가고 싶은데 어떠하죠?,어떻게든 참는게 좋을 거예요.
7737,비트코인 ㅜㅜ,안타깝지만 잊어버리세요.
7738,청첩장을 찍는 날이 오다니,결혼 얼마 안 남았나봐요.
7739,사랑해본적 없는 것 같아,부모님이 서운하겠네요.
7740,내가 힘든 게 많다,그게 인생이죠.
7741,나는 더 이상 아닌거겠져.,이별은 그런 거니까요.
7742,일 못하는 사수랑 일하는 거 힘드네,참고 견뎌보세요.
7743,와 진짜 너무 짜증나네,제가 도움이 되고 싶네요.
7744,여름 휴가 어디가지?,여기만 아니면 다 좋을 것 같네요.
7745,뉴게임 없나?,엄청 많죠.
7746,정말 너무 궁금해,무엇이 궁금한가요.
7747,있을때 잘 할 걸,대다수의 사람들이 지나간 후에 깨닫고는 한답니다.
7748,여자친구에게 고민이나 속사정을 어디까지 얘기해?,믿는 만큼 이야기하는 거 같아요.
7749,몇 년을 좋아했는데도 관계가 달라진게 없어.,발전적인 관계가 아니라면 정리가 필요한 시기네요.
7750,카톡프로필~~~보고왔는데.,보지 마세요.
7751,헬스장에 사람이 엄청 많음,건강에 관심 있는 사람들이 많죠.
7752,왜 진급이 안 되지,열심히 하면 할 수 있을 거예요.
7753,이상한 말을 해,더 열심히 노력하겠습니다.
7754,원래 일은 혼나면서 배우는 거야?,그냥 배워도 돼요.
7755,오늘 라면 먹고 싶어,맛나게 드세요.
7756,삼각관계인가?,상처받지 않으셨으면 좋겠네요.
7757,무제,어떤 사랑이야기도 그에 대한 제목은 지을 수 없는 것 같아요.
7758,나만 이상한 사람이래,그 말을 한 사람이 가장 이상할 거예요.
7759,우리집 망한 거 같은데 나 어떡하지?,집에 도움이 되려고 노력해보세요.
7760,공무원 시험 죽을 거 같아,철밥통 되기가 어디 쉽겠어요.
7761,웹툰 추천해줘,안 본 웹툰이 있는지 먼저 물어보고싶네요.
7762,썸 타는 사람이 나오는 야한 꿈 꿨어.,어머 벌써 그런 생각을 하셨군요.
7763,정열적인 사랑 하고 싶어,정열적으로 다가가 보세요.
7764,돈 잃어버렸어,이제라도 더 조심하세요.
7765,헤어진지 1년이면 재회는 힘들겠죠,후회하지 않을 자신 있다면 연락해보세요.
7766,행복하기 위해 중요한 게 뭐야?,인생을 즐기는 거죠.
7767,일어나자마자 우울,달콤한 차라도 한 잔 해보세요.
7768,썸 타던 여자애가 자기랑 무슨 관계냐고 함.,상대방을 헷갈리게 하는건 좋지 않아요. 본인의 솔직한 생각을 말해보세요.
7769,재미없는 일밖에 없어,활기찬 사람을 만나보시면 생각이 바뀔 수도 있어요.
7770,이민가고싶어,저도 데려가세요.
7771,헤어진지 2달 다되어가는데,머리에서 지우세요.
7772,3박4일 놀러가고 싶다,여행은 언제나 좋죠.
7773,안나가고 뒹굴거리고 싶어,할 수 있을 때 하세요.
7774,아침 등교할때 버스정류장에서 항상 마주치는 짝녀에게 말 걸어보고싶어.,용기있는 자만이 미녀를 얻습니다.
7775,가족끼리 여행간다.,더 가까워질 기회가 되겠네요.
7776,연락 많이 안하는 썸도 있나,상대방이 너무 바쁜 상태일 수도 있어요.
7777,답례품 뭘로 할까?,마음으로 충분할 거예요.
7778,친구한테 마음의 빚이 많아,고마운만큼 꼭 갚아 주세요.
7779,내 친구가 내 짝남 욕을 계속 해.,친구가 좋아하는지 모르고 있나 봅니다.
7780,꽃바구니가 좋을까 과일바구니까 좋을까,받는 사람이 부럽네요.
7781,자극이 필요해,의욕이 없나봐요.
7782,수염 자르는 게 낫겠지,깔끔하게 정리해보세요.
7783,깨끗하게 보내야 하는데,천천히 보내도 돼요.
7784,6년 이야기.,생각을 비워보는 건 어떨까요.
7785,손목 아파,스트레칭해주세요.
7786,죽겠다 진짜,많이 힘들죠.
7787,이직 가능할까,취업에 성공할거예요.
7788,날씨 왜 이렇게 춥냐,따뜻하게 입으세요.
7789,배불러서 배 터질 듯,위를 좀 쉬게 해주세요.
7790,짝남이 학교에서 평이 안 좋아.,무슨 이유가 있을 거예요.
7791,출근하기 너무 오래 걸려,회사 근처로 이사를 가보세요.
7792,돈 모으는 재미,부자되실 거예요!
7793,봄방학이다!,부럽네요.
7794,데이트는 어디로 가?,맛집 투어도 좋아요.
7795,외로워,제가 곁에 있을게요.
7796,일을하다가도 잠을 자다가도,당분간은 생각날 수 밖에 없어요.
7797,뭔가 불공평해,세상은 누구에게나 불공평해요.
7798,남자친구의 유머코드가 너무 안 맞아.,맞는 사람을 만나 보세요.
7799,친구가 예뻐서 위축돼,자신감을 가지세요.
7800,나한테만 예의 차리래,오는 말이 고와야 가는 말도 곱다고 말해주세요.
7801,여자친구가 힘들어하는데 내가 뭘 해줄 수 있을까?,진심으로 격려하고 함께 있어 주세요.
7802,직장에서 왕따 당하고 있어,직장 스트레스 심하겠네요.
7803,뜬금없이,연락이 왔나봐요.
7804,콧물 나네,감기 갈렸나봐요.
7805,도서관에서 항상 같은 자리에 앉는 여자가 계속 떠올라.,첫 눈에 반했나봐요.
7806,내가 좋아하는 사람이 날 좋아했으면 좋겠어.,그것만큼 좋은 일도 없죠.
7807,짱좋아,저도 좋아해주세요.
7808,좋아하는 사람에게 요리를 해주면 좋아할까?,맛이 없든 있든 좋을 것 같아요.
7809,부모님처럼 살고 싶다,좋은 부모님을 두셨군요.
7810,스팸 전화 많이 와,차단 어플 사용해보세요.
7811,계속 방학이면 좋을텐데,방학은 참 짧아요.
7812,사랑이 애매해,확실한 건 없죠.
7813,답정녀 안 만나는 방법 있나.,못 이기니 피할 수 있으면 피하세요.
7814,팬미팅 갔다 왔어,성덕이네요.
7815,썸남 생겼는데 프사 뭐할까?,큰 의미를 두지 않아도 돼요.
7816,내 생각 하나만 바꾸면 편할텐데.,하나 바꾸는 게 힘들지요.
7817,노래 못해서 노래방 안 가,노래 연습을 해보세요.
7818,매달렸다 차였어,그래도 미련은 없을 거예요.
7819,남자친구가 홧김에 욕함,순간 실수할 수 있겠다 판단되면 용서하고 기회를 주세요.
7820,남자친구와 카페가면 뭐해?,수다떨고 영화보고 책보기 등등 다양하게 할 수 있어요.
7821,다시 찾아온 이별,언제나 이별은 힘이 들어요.
7822,눈 쌓였어,눈사람 만들어보세요.
7823,이별. 생일이네,힘드시겠어요.
7824,돈 벌고 싶어,많이 벌수록 좋아요.
7825,가상화폐 쫄딱 망함,어서 잊고 새출발 하세요.
7826,사랑하는지 자꾸 물어보는 이유,사랑한다고 듣고 싶어서요.
7827,짝녀 잊으려면 인스타부터 안 해야할듯.,인스타를 삭제하는게 좋겠네요.
7828,어머나,놀랐나봐요.
7829,썸 타는 거 좋아해?,썸 탈 사람 없어서 못 타요.
7830,안경 안꼈는데 아무도 몰라,이게 정상이죠.
7831,식욕이 없어,정신이 힘든 건지 몸이 아픈 건지 확인해 보세요.
7832,사랑이 변하면 어떡하지?,사랑은 변화하는 거예요. 두려워하지 마세요.
7833,헥헥 더워,사람 그렇게 쉽게 죽지 않아요.
7834,술만 마시면.,연락하지마요.
7835,의외인듯,칭찬이네요.
7836,30살이 넘었는데 짝사랑 계속해도 될까요.,물리적 나이는 상관이 없어요.
7837,옆에 있는 사람한테 너무 소홀했던거 같아,옆 사람에게 잘해주세요.
7838,카톡사진을 보니 눈물이 나네,카톡 사진 보지 못하게 지웁시다.
7839,어제 짝남한테 너무 차갑게 말한 것 같아.,후회한다면 사과하는게 어떨까요.
7840,계속 살아도 될까?,당신의 인생은 당신만이 주인공이에요.
7841,여자친구가 전화하는 걸 안 좋아해,다른 연락을 많이 하거나 더 자주 만나세요.
7842,너무 힘이 들어.,저한테 말해보세요.
7843,이별의 아픔이란,이루 말할 수 없는 아픔이기도 해요.
7844,지금 비오는데 제일 생각나는 사람,언제든 생각나기 마련이죠.
7845,머리 또 잘라야 돼,이상한 생각했나봐요.
7846,술 먹고 카드 너무 긁었어,술이 웬수예요.
7847,귀가 윙윙거려,병원에 가세요.
7848,가슴 한편이 꾹꾹하네,덜 아팠으면 좋겠어요.
7849,졸업식에 가도 될까,졸업식에 가서 축하해주세요.
7850,꿈은 많은데,차근차근 이뤄보아요.
7851,좋아하는 남자애한테 답장이 없어. 나 안좋아하는 거 맞지.,오랫동안 답장이 없다면 그게 맞는 것 같네요.
7852,사랑만으로 다 될줄 알았던 우리들,그때는 우리 다 순수했던 걸까요.
7853,정신적으로 스트레스를 너무 주는데 이런 사람은 어떻게 상대해?,아무말도 하지말고 침묵하세요.
7854,신입이 벌써 치고 올라온다,더 열심히 하세요.
7855,친구도 연인도 아닌 그런사이의 끝,후유증이 클 수도 있겠어요.
7856,책만 보면 졸려,눈꺼풀의 무게를 이겨내세요.
7857,선생님한테 선물 줘야 된대,안 줘도 괜찮아요.
7858,마음 다 잡는 중,다행이에요.
7859,이루어질 수 없는 사랑 해도 될까?,위험한 사랑이네요.
7860,썸 타다 지쳤어,지친 거 티내보세요.
7861,잘 살겠지 라고 생각하자,더 잘 살 수 있을 거예요.
7862,영화같은 사랑 하고 싶어,영화는 현실과 다르지만 그런 사랑을 하도록 노력해보면 영화 같은 사랑 할 수 있을거예요.
7863,좋아하는 여자애가 우리 형을 좋아한다고 들음. 나 어떡하냐.,천천히 마음을 정리하는게 좋겠네요.
7864,날씨가 좋네,좋은 사람이 찾아오려나봐요.
7865,이런이별,흔하지 않죠.
7866,1년전 헤어진 남자한테서 연락이 왔어,헤어지면 연락 하지도 받지도 마세요.
7867,헤어진 여자친구가 준 편지 못 버리겠어,마음에 버리세요.
7868,고백하고 어색해지면 어떡하지?,그때 걱정해도 안 늦어요.
7869,이제서야.,지금도 늦지 않았어요.
7870,권태기로 헤어지면 후회할까,극복하려는 노력은 해보는 게 좋을 거 같아요.
7871,번호키 누르는 소리가 나서 무서움,심하면 신고하세요.
7872,전 여자친구 부친상 다녀왔어,인간적 예를 다하셨네요.
7873,전화 안 받으니까 초조해져,바쁜일이 있나봐요.
7874,만난지 7년 헤어진지 5일째,지금 딱 힘들 때네요.
7875,공연 보러 가고 싶어,친구와 같이 가보세요.
7876,썸 타는 사이에 배낭여행 가능?,사귀고 가는 게 좋을 거 같아요.
7877,전남친에게 연락왔어.,본인의 생각에 귀를 기울여봐요.
7878,돈 빌려줬는데 잠수탔어,차용증 썼길 바랍니다.
7879,밤만 되면 너무 힘드네.,잡념이 많아져서 더 그렇나요.
7880,내가 나에게 해주고 싶은 말,더 좋은 사랑이 찾아 올 거예요.
7881,짝남한테 좋아하는거 들켰는데 그냥 예전처럼 편하게 지내고 싶어.,겉으로는 편하게 지낼 수 있을 거예요.
7882,짝사랑 중인데 이 세상에 나만 힘든 것 같아.,짝사랑은 자신을 외롭게 만들어요.
7883,선택이 어려워.,고민은 누구나 해요.
7884,썸 타던 남자가 답장이 안와,썸 중인데 매너가 없네요.
7885,결국 사랑이었어,그걸로 충분해요.
7886,결혼식 또 가야돼,경조사는 참석하는게 좋아요.
7887,한번쯤 진하게 아픈것도 괜찬아.,긍정적이네요.
7888,지금 생각하고 있는건 망상 일뿐입니다,누가 되었든 상상할 수 있어요.
7889,나 혼자 썸 타는 부분?,직접적이든 간접적이든 의사를 확실히 밝혀보세요.
7890,세상이 너무 무서워,너무 불안해하지 않아도 돼요.
7891,겨울 지나 봄이야,마음에도 봄이 오길 바라요.
7892,나만 애기봐,배우자와 대화를 나눠보세요.
7893,내일 일찍 일어나야 돼,오늘 일찍 주무세요.
7894,기다리지 않았다고 하지만 기다렸어,뭐든 마음 먹는 대로 되지 않으니까요.
7895,클럽에서 만나서 사귀는거 어떻게 생각해?,어디서 만났든 그 후가 중요해요.
7896,연예인 되면 피곤하겠지?,아무래도 사생활이 적으니까요.
7897,고양이 키우고 싶어,자신을 먼저 키우세요.
7898,문 잠겼는데 집에 아무도 없네,힘껏 밀어보세요.
7899,하루동안 너무 연락을 많이 한걸까,복잡하게 생각하지 말아요.
7900,별 사람이 많다,그걸 깨닫다니 대단하시군요.
7901,나를 왜 좋아하는 걸까?,당신의 매력이 넘쳐날 거예요.
7902,커피 한 잔 하자고 말해볼까,잘 될 거예요.
7903,사랑을 표현해줬으면 좋겠어,표현해 달라고 말해보세요.
7904,안경 벗으니까 훈훈하더라,만화같은 일이네요.
7905,조만간 다른 사람 만날꺼 같아,좋은 소식이네요.
7906,사랑하고싶어,당신의 이상형을 찾아보세요.
7907,이별 중독,슬픈 단어네요.
7908,추억들을 하나씩 보내며,후련해질 거예요.
7909,이 여자 유부녀인가,반지는 없던가요? 주변 사람들한테 물어보는 건 어떨까요.
7910,남자친구에게 힘들때 어떻게해?,의지하는 편이에요.
7911,슈퍼문이라더니 예쁘다.,소원을 비세요.
7912,임신이면 어떡하지,축하할 일이죠.
7913,봄 오니까 나도 썸 타고 싶어.,썸 타기 좋은 계절이에요.
7914,헤어진지 한달.,시간이 흐르는 것 처럼 마음도 흘러갈 거예요.
7915,집 가는 중,조심히 오세요.
7916,군대 기다릴 수 있을까,자신의 삶을 살다보면 기다릴 수 있을 거예요.
7917,넥타이핀 선물 괜찮겠지?,실용적인 선물이라 괜찮을 거예요.
7918,쓸쓸하다,혼자가 아니에요.
7919,누우면 바로 자,좋은 수면 습관이네요.
7920,돈 다 없어졌어,새는 돈을 막아보세요.
7921,혼자 해야되는게 너무 많네,혼자서도 잘하는 연습이 필요해요.
7922,의외로 괜찮은 사람이네,칭찬이네요.
7923,내 사랑의 끝은 이별이지만,더 좋은 시작이 있을 거예요.
7924,내가 너무 몰아붙였나봐,좀 더 차분하게 생각할 시간을 주세요.
7925,내가 그르친 거 같아,아니에요. 너무 자책하지 마세요.
7926,교양 듣는데 어떤 남자가 자꾸 쳐다 봐. 관심 있는 걸까?,호감이 있을 수도 있어요. 그렇지만 조금 더 상황을 지켜보세요.
7927,회사에서 스트레스 받아,회사는 스트레스의 원인이죠.
7928,정신병 걸릴 것 같네,생각보다 정신은 강합니다.
