,Q,A
1171,막차 놓쳤어,버스 끊겼다
1172,만나기만 하면 자꾸 싸우게돼,만나기만 하면 싸워
1173,만나는 사람마다 유형이 비슷해,내가 만나는 사람은 유형이 비슷해
1174,만나는게 싫지는 않아,만날 땐 좋고 안 만나도 괜찮은 거 같아
1175,만나는데 혈액형이 중요해?,만나는데 혈액형은 왜 물어보지?
1176,만나도 불안하면 어떡해?,만나도 불안해
1177,만나면 싸워,만나기만 하면 싸워
1178,만나면 좋은 사람이 있어. 헤헤,친구랑 만나면 좋아
1179,만나자,만나자고 말해야지
1180,만나자고 약속 잡는 것도 귀찮아,누굴 만나는 것도 귀찮아
1181,만나지 얼마 안됐는데 여행가재,얼마 안됐는데 같이 여행가재
1182,만난지 100일,만난지 100일됐어
1183,만난지 100일 됐는데 여행가재,100일 기념 여행가재
1184,만난지 1년됐어,우리 만난지 1년됐어
1185,만난지 1년인데 결혼해도 될까?,만난지 1년인데 청혼해도 될까?
1186,만난지 200일됐어,우리 드디어 만난지 200일 됐어
1187,만난지 세달만에 결혼 가능함?,만난지 세달만에 결혼하자고 해도 될까?
1188,만난지 얼마 안됐는데 결혼해도 될까?,만난지는 얼마 안됐지만 좋은데 결혼해도 될까?
1189,만난지 얼마 안됐는데 고백받았어,만난지 얼마 안됐는데 벌써 고백받았어
1190,만난지 얼마 안됐는데 고백했어,만난지 얼마 안됐는데 너무 좋아서 고백했어
1191,만난지 얼마 안됐는데 키스함.,만난지 얼마 안됐는데 어제 키스함.
1192,만난지 이틀만에 고백받았어,만난지 이틀만에 그 사람한테 고백받았어
1193,만두 먹고 싶어,왕만두 맛있는데
1194,만든 사람,누가 만들었니?
1195,만족할 줄을 몰라,만족을 모르나봐
1196,많이 늦은시간인데 연락해봐도 괜찮을까?,늦은 시간인데 연락해도 괜찮을까?
1197,많이 만났는데 아직도 왜 모르지?,그렇게 오래 만났는데 아직도 왜 모르지?
1198,많이 먹었는데 몸무게 똑 같아,살이 안 쪄
1199,많이 좋아하던 전남친이랑 다시 사겨도 될까?,전남친이랑 다시 사겨도 될까?
1200,많이 좋아하던 전여친에게 연락해도될까?,전여친에게 연락해도 될까?
1201,많이 좋아했는데 이젠 끝내야겠지.,이젠 끝내야겠지.
1202,많이 좋아했었는데 이젠 정리하려고.,좋아했었는데 이젠 맘 정리하려고.
1203,말 거는게 어려워,처음에 말 걸 때 힘들어
1204,말 없이 찾아가는건 예의가 아니겠지.,말 없이 가는건 예의가 아니지.
1205,말 좀 잘하면 좋을텐데,말 잘하고 싶어
1206,말문이 막힌다,말문이 탁 막힌다
1207,말수 적은 남자인데 썸타도 괜찮을까?,말수 적은 남자인데 썸 괜찮을까?
1208,말실수했다,생각 없이 말했어
1209,말을 못하겠어,주눅들어서 말을 못하겠어
1210,말을 수시로 바꾸는 사람 어떻게 해?,자꾸 말 바꾸는 사람 어떻게 해?
1211,말을 안하는 연애,거의 말을 안하는 데이트
1212,말을 예쁘게 하면 좋으련만,말을 좀 잘 하고 싶어
1213,말을 해놓고 후회돼 죽겠어,주워담지 못할 말을 했어
1214,말이 너무 심해,폭언하는 사람 어떻게 해?
1215,말이 안 예쁘게 나와,말이 예쁘게 안나와
1216,말이 안 통해,소통이 안돼
1217,말이 안돼,진짜 말도 안돼
1218,말투가 맘에 안들어,말투가 별로야
1219,말하고 후회할까봐 걱정돼,말하고 후회하면 어떡해
1220,말하는 거 귀여워,말하는 거 너무 귀여워
1221,말하는 대로 다 되면 정말 좋겠다,말하는대로 다 됐으면 좋겠다
1222,말하는게 재밌어!,만담꾼이네!
1223,말하지 말걸,입이 방정이야
1224,말할 때 너무 떨려,말할 때 엄청 떨려
1225,맘 떠난 사람이랑 계속 사귀기?,나한테 마음 떠난 사람이랑 계속 사귀기?
1226,맘 정리했는데 다시 연락하고 싶어요.,맘 정리한 줄 알았는데 연락하고 싶어요.
1227,맘 정리했는데 연락오는데.,맘 정리했는데 연락오는데.
1228,맘 편한 데가 없어,마음 둘 곳이 없어
1229,맘이 너무 아파,마음이 아려
1230,맛있는 거 먹는데 생각나는 사람,맛있는 거 먹을 때 생각나는 사람
1231,맛집 가고 싶어,맛집갈까
1232,맛집 다녀왔어,입소문 난 맛집 다녀왔어
1233,망고빙수 맛있다,빙수 맛있다
1234,맞는 결정을 한거겠지?,나 결정 잘 한거지?
1235,맞는 선택일까,잘 선택한건지
1236,맞지 않더라도 대화로 잘맞아갈수 있을까?,조금씩 대화로 잘 맞을까?
1237,맞추려고 노력하는데 힘들어,맞추려고 노력하는데 잘 안된다
1238,맞춤 정장 했어,맞춤 정장 샀어
1239,맞춤법 자꾸 틀리는 사람,맞춤법 많이 틀리는 사람
1240,맞춤법을 자꾸 틀리는 남친 깬다,남자친구가 맞춤법을 너무 많이 틀려
1241,매년 좋아하는 애가 바뀌었는데 어떡하죠.,좋아하는 애가 매년 바뀌는데 어떡하죠.
1242,매운 국물 떡볶이 먹고 싶다,떡볶이 먹고 싶다
1243,매운 닭발 먹고 싶다.,매콤한 닭발 생각나
1244,매일 아침 정류장에서 마주치는 남자애가 신경쓰여.,아침마다 정류장에서 마주치는 남자애가 신경쓰여.
1245,매일 아침 정류장에서 마주치는 여자애한테 눈이 가.,아침마다 버스 정류장에서 마주치는 여자애한테 눈이 가.
1246,매일 아침 정류장에서 마주하는 그녀,매일 아침 정류장에서 마주하는 그녀
1247,매일 아침 정류장에서 보게되는 그,매일 아침 정류장에서 보게되는 그 사람
1248,매일 아침 피곤해,매일 아침 피곤해
1249,매일 카페에서 그의 뒷모습만 보게 돼.,매일 카페에서 뒷모습을 보게 돼.
1250,매일 카페에서 보게 되는 그녀가 눈에 밟혀.,카페에서 거의 매일 보게 되는 그녀가 눈에 밟혀.
1251,매일매일 사랑해,매일매일 더 사랑해
1252,매주 수요일 그녀를 만날 수 있어.,매주 수요일 그녀를 만나.
1253,매주 수요일 그를 만날 수 있어.,매주 수요일 그 사람을 만날 수 있어.
1254,매주 월요일 그녀를 볼 수 있어.,매주 월요일이 되면 그녀를 볼 수 있어.
1255,매주 월요일 그를 볼 수 있어.,매주 월요일 그를 만나.
1256,매주 화요일 그녀는 마주할 수 있어.,매주 화요일 그녀랑 함께 할 수 있어서 다행이다.
1257,매주 화요일 그를 볼 수 있어.,매주 화요일 그를 만나 볼 수 있어.
1258,맥주 마셔야지,맥주 한 잔 해야지
1259,맥주 소주 어떤거 마실까,맥주 마실까 소주 마실까
1260,맥주 한 잔 어때?,맥주 한 잔 할래?
1261,맨날 똑같아,별다른 게 없어
1262,맨날 똑같애,항상 똑같애
1263,맨날 썸만 타고 깨짐.,썸만 타다가 깨짐.
1264,맨날 짝사랑만 하다가 끝났는데 연애할 수 있을까?,늘 짝사랑만 하다가 끝났는데 연애할 수 있을까?
1265,맨날맨날 똑같아,별다른 게 없는 일상
1266,머리 기름낀거 티나나?,머리 안 감은 거 티나나?
1267,머리 깎아야겠다.,머리 깎아야지
1268,머리 냄새날텐데 ,오늘 머리 안 감았는데
1269,머리 또 잘라야 돼,머리가 너무 빨리 자라
1270,머리 스타일 바꿀까,머리 바꿀까
1271,머리 안감았더니 떡졌어,앞머리 떡졌어
1272,머리 염색 해야지,염색이나 해야지
1273,머리 좀 다듬을까,머리 다듬어 달라고 그럴까?
1274,머리 짧게 잘라야지,머리 확 잘라버려야지
1275,머리 하나도 안 남을 것 같아,이러다 대머리 되겠어
1276,머리가 너무 아프네,머리 아파
1277,머리가 띵한게 한 대 맞은거 같아,머리가 띵해
1278,머리가 좀 아프다.,머리 아픈 거 같애
1279,머리가 콕콕 쑤셔,편두통 왔어
1280,머리따로 마음따로 몸따로,머리는 아는데 가슴은 모르네
1281,머리스타일 어떻게 바꾸지,머리 어떻게 할까?
1282,머리에서 열날거 같다.,머리만 바빠
1283,머리카락 쑥쑥 빠지는 느낌,머리카락 많이 빠져
1284,머리카락이 자꾸 빠져,머리카락이 엄청 빠져
1285,머릿결 좀 찰랑거렸으면 좋겠어.,찰랑찰랑한 머릿결 갖고 싶다
1286,머릿속에 너만 가득해,머릿 속에 니 생각만 나
1287,머릿속이 복잡해,머릿속이 정리 안돼
1288,먹고 나니까 졸리당,많이 먹었더니 졸려
1289,먹고 자고 놀고만 싶어,아무 생각 없이 놀고 먹고 싶어
1290,먹고 자고 먹고 자고,먹고 자고
1291,먹고 자도 놀기만 해도 될까,먹고 자도 되나
1292,먹고 죽을 돈도 없어,돈이 천원밖에 없어
1293,먹는거에 너무 예민한 여자친구가 고민임.,먹는거에 까다로운 여자친구가 고민임.
1294,먹으면 살 찔까봐 걱정돼,맛있는 거 먹고 싶은데 살 찔까봐 걱정돼
1295,먹을 거 뭐 없나,뭐 먹을 거 없나
1296,먹을 게 일도 없어,먹을 거 하나도 없어
1297,먹통이야 답답하다,말이 안 통해
1298,먼저 고백하는 게 좋을까,그냥 먼저 고백하는 게 좋을까
1299,먼저 연락 안 오면 끝인가,연락 안 오면 이제 끝인가
1300,먼저 연락이 자주 오면 썸인가요,별거 아닌걸로 연락하는데 썸인가요
1301,먼저 인사하려고 했는데 짝남이 먼저 인사해줬어.,짝남이 먼저 인사해줬어.
1302,먼저 인사할까 했는데 짝녀가 먼저 인사해줬어.,짝녀가 먼저 인사해줬어.
1303,먼저 잘게 잘자,나 먼저 잘게
1304,먼지 싫다,먼지 때문에 목아파
1305,먼지 지수 어때,먼지가 많나
1306,먼지 콜록콜록,먼지가 너무 많아
1307,멋지게 나이들고 싶다,멋지게 늙고 싶다
1308,멋진 데 알아 냈어,근사한 곳 알아 냈어
1309,멋진 삶을 살고 싶어,멋지게 살고 싶었는데
1310,멍 때리기,멍 때리는 중
1311,메뉴얼이 있으면 뭐하나,메뉴얼이 있으면 뭐해
1312,메리지블루인가봐,메리지블루인것 같아
1313,메모리카드 어디다 두었을까,메모리카드 잃어버렸어
1314,메모하는 습관 필요해,메모하는 습관을 기르고 싶어
1315,며칠 전에 다시 만났는데,얼마전 재회했는데
1316,면도기 새로 사야돼,면도기 또 사야돼
1317,면도기랑 이것저것 사야되는데,면도기 사야되는데
1318,면도안하면 안되나,면도하기 귀찮
1319,면도해야 되는데 귀찮아,면도하는 게 낫겠지?
1320,면세점에서 쇼핑할거야,면세에서 뭐 사지
1321,면접 때 너무 떨려,면접만 보면 떨려서 말을 못하겠어
1322,면접 어떻게 잘 보냐,면접 잘보고 싶어
1323,면접 준비 어떻게 하지,면접 준비중이야
1324,면접만 보면 돼,면접만 남았어
1325,면접이 코앞이야.,면접 잘 볼 수 있을까?
1326,면허 따야하나,면허 딸까봐
1327,면허 없는데,면허 없는데 따야겠지
1328,명절 다가오니까 스트레스,명절 스트레스
1329,명절 선물 알려줘,명절 선물 뭐하지
1330,명품선물 꼭 해야할까?,비싼선물 꼭 해야할까?
1331,몇 년 만에 썸 타는 거라 어떻게 연락을 해야할지 모르겠어,오랜만이라 어떻게 연락을 해야할지 모르겠어
1332,몇 년 후 만날 수 있을까?,몇 년 후에 다시 만날 수 있을까?
1333,몇 년을 좋아했는데도 관계가 달라진게 없어.,몇 년을 좋아했는데도 달라진게 없어.
1334,몇 달을 좋아했는데 달라진게 없어요.,몇 달을 만나도 달라진게 없어요.
1335,몇 반 될지 궁금해,반 배정 잘 될까?
1336,몇시간 동안 안와,날 몇시간동안이나 기다리게했어
1337,몇일정도 썸타?,보통 얼마나 썸타?
1338,모공 점점 커지는 것 같아,모공 너무 커
1339,모기가 너무 많아.,모기가 웽웽거려.
1340,모닝콜 해달라고 하는대 좋아하는 걸까?,모닝콜 해달라고 하는대 좋아하는 걸까?
1341,모든 걸 다 주니까 떠난다는 그 남자,다 해주니까 떠난다는 그 남자
1342,모르는 걸까? 모르는 철 하는 걸까?,아는데 모른척하나?
1343,모르는 번호에서 전화오면?,모르는 번호로 전화왔어
1344,모르는 사람 만나는거 너무 스트레스야,새로운 사람 만나는 게 스트레스야
1345,모르는 사람들이 페친 신청해,생판 모르는 사람이 아는척해
1346,모르는 사람인데 첫 눈에 반했어.,첫 눈에 반했어.
1347,모르는 사이에 좋아하는 티 내는 법 알려주세요.,좋아하는 거 자연스럽게 티 내는 법 알려주세요.
1348,모르는 애랑 썸타는 꿈 꿨어,썸타는 꿈 꿨어
1349,모른 척 하는 건지 모르는 건지,모른 척 하는건가
1350,모른척 해줬어,모른척 지나쳤어
1351,모쏠 남자와의 썸,모쏠 남자랑 썸타는 중
1352,모쏠 여자와의 썸,모쏠이랑 썸
1353,모쏠인 사람 만나면 답답할까?,모쏠인 사람 답답할까?
1354,모임에서 만났어,대외활동하다 만났어
1355,모임에서 썸 깨졌는데,모임에서 썸타다 깨졌는데
1356,모태솔로라 잘 모르겠어 도와줘,모태솔로라 잘 모르겠어
1357,모태솔로인데 어떻게 시작해?,연애 처음인데 어떻게 시작해?
1358,목 마르다.,목 말라
1359,목 아파,목이 뻐근해
1360,목 탄다,목 탄다
1361,목걸이 선물이 좋겠다.,목걸이 선물해볼까?
1362,목돈 만들기,돈 굴리기
1363,목욕탕 가서 때밀어야겠다.,목욕탕 가야지
1364,목이 뻑뻑해,목이 칼칼해
1365,목적 있는 만남이라는 걸 알게 됐어,목적 있는 만남이었구나
1366,목표가 없어,목표가 없어서 걱정임
1367,몰두할 때는 연락 안 되는 사람 어때?,뭔가 몰두할 때는 연락 안 되는 사람 어때?
1368,몰랐구나,너도 몰랐니
1369,몰래 동거하고 있어,부모님 몰래 동거하고 있어
1370,몸매가 탄탄하면 좋은데,탄탄한 몸매 갖고 싶어
1371,몸무게 좀 줄었으면,미용 몸무게하고 싶다
1372,몸살 났나봐,몸살 나서 힘들어
1373,몸에 힘이 하나도 없어,기력이 없어
1374,몸이 여러 개면 좋겠다,내 몸이 여러 개 였으면 좋겠다
1375,몸이 영 찌뿌둥해,몸이 찌뿌둥해
1376,몸이 천근만근이다,몸이 무거워
1377,못생긴 남자를 좋아하는 여자가 있을지.,나처럼 못생긴 남자를 좋아하는 여자가 있을지.
1378,못생긴 여자를 좋아하는 남자가 있을까?,나처럼 못생긴 여자를 좋다는 남자가 있을까?
1379,못참고 문자 보냈네,못참고 연락했어
1380,못참고 카톡 보내버렸네,참지 못하고 카톡했어
1381,못하는거 투성이야,못하는게 너무 많아
1382,무기력증 극복하는 방법,무기력증 어떻게 극복하지?
1383,무기력한 것일뿐,무기력해
1384,무료 앱이 유료로 됐어,쓰던 앱이 유료로 전환됐어
1385,무릎 아파,무릎 쑤셔
1386,무사안일 기원,큰일 없이 살고 있어
1387,무서워서 뛰어 왔어,무서워서 달려왔어
1388,무서워요,너 무서워
1389,무슨 말을 해야할까,내가 다른 무슨 말을 하겠어
1390,무슨 매주 결혼식이야,결혼식이 너무 많아
1391,무슨 생각 하고 있을까?,누구 생각 하고 있을까?
1392,무언가에 집중하는 남자가 좋아,집중 잘하는 남자가 좋아
1393,무조건 나한테 다 맞춰주는 남자친구 변하면 어떡하지?,무조건 나한테 다 맞춰주는 남자친구 계속 그럴까
1394,무지 덥다,더워
1395,무한리필 가면 너무 돼지처럼 보일까,무한리필 괜찮지 않아?
1396,문 안열림,문이 안열려
1397,문 여는 소리같은게 나서 무서움,번호키 누르는 소리가 나서 무서움
1398,문신하고 싶은데 후회할까?,문신하면 후회하려나?
1399,문열다 옆차랑 부딪혔어.,문콕한듯
1400,문자보낼 친구도 없어,카톡할 친구가 없네
1401,문화가 너무 다른 것 같아,너무 다른 문화인 듯
1402,문화센터라도 가야겠다.,문화센터 가야지
1403,물 마실라구,물 마셔야지
1404,물 많이 마셔야 돼,물 자주 마셔야지
1405,물 많이 마시라고 했는데,오늘 물 진짜 조금 마셨다
1406,물 좋은데 어디야?,여자 어디서 만나
1407,물 차가워,물 너무 차가워
1408,물가가 왜 이렇게 비쌈,물가 왤케 비쌈
1409,물건 사는것도 힘드네,쇼핑했더니 힘드네
1410,물리치료 받아야 하나 ,물리치료 받아야겠다
1411,물배달 시켜야겠다.,물 주문해야지
1412,물이 안나온데,단수래
1413,뭐 먹을까?,뭐 좀 먹을까?
1414,뭐 보고 결혼 결심해?,보통 뭐 보고 결혼 결심해?
1415,뭐 입고 나가지?,뭐 입고 가지?
1416,뭐 입지?,오늘 뭐 입지?
1417,뭐 좀 물어 봐도 돼,뭐 물어볼까
1418,뭐 하는 중?,뭐 해?
1419,뭐라 하려다 참았어,뭐라고 하고 싶었는데 참았어
1420,뭐라고 말하면서 고백할까,고백할때 뭐라고 말해
1421,뭐라고?,설명 좀 해봐
1422,뭐부터 바꿔야 할까,뭘 바꿔야 할까
1423,뭐야 너무 건방져,건방져
1424,뭐하냐?,뭐해?
1425,뭐하냐고 계속 물어보면 좋아하는 거야?,뭐하냐고 자꾸 물어보면 좋아하는 거야?
1426,뭐하는 분이세요?,너 누구?
1427,뭐하면서 놀까,뭐하면서 노는 게 좋을까
1428,뭐할까?,뭐하고 놀지
1429,뭔 날이여?,오늘 무슨 날인가
1430,뭔 비밀이 그렇게 많은지,비밀이 너무 많은 거 같아
1431,뭔 상황인지 헷갈리네.,뭔지 이제 헷갈리네
1432,뭔 참견이야,참견 좀 하지마
1433,뭔 희망이 있을까,저에게 희망이 있을까?
1434,뭔가 말해봐,말해봐
1435,뭔가 배워볼까,뭐라도 배워볼까
1436,뭔가 불공평해,불공평해
1437,뭔가 새로운 자극이 필요해,자극이 필요해
1438,뭔가 찔려,잘못한 거도 없는데 찔려
1439,뭔가 취미생활 필요해,취미 좀 만들어볼까?
1440,뭔가 해야 할까,아무것도 하고 싶지 않으면서 아무거나 하고 싶어
1441,뭘 배워 볼까,뭐 좀 배워볼까봐
1442,뭘 챙겨주면 좋을까,뭘 챙겨주면 좋아할까
1443,뭘 해도 재미없다.,재미없는 일밖에 없어
1444,뭘하면 행복할까?,행복하기 위해 중요한 게 뭐야?
1445,뭘해도 귀여워,코고는 것도 귀여워
1446,뭣이 중한지 모르겠어,뭐가 중요한지 모르겠어
1447,미끄러질 뻔했어,나 넘어질 뻔했어
1448,미드 보고싶다,반딧불이 보고싶다
1449,미래를 함께할 반려자인지 확신이 아직 없어,반려자가 맞는지 확신이 없어
1450,미련,미련이 없다고 생각했는데.
1451,미련 남은거랑 좋아하는 거랑 뭐가 다름?,미련이랑 좋아하는 거랑 뭐가 다름?
1452,미세먼지 때문에 짜증나,미세먼지가 너무 많아서 짜증나
1453,미세먼지 심하대,오늘 초미세먼지도 심하대
1454,미세먼지 지수 뭐야?,미세먼지 나쁨인가
1455,미세먼지 지수 어떻대?,오늘 미세먼지 어때?
1456,미세먼지 최악인데,미세먼지 또 나쁨
1457,미세먼지가 너무 많아. 하늘이 뿌옇다.,미세먼지가 너무 많아
1458,미용실 가서 머리해야지,미용실 가야지
1459,미용실에서 너무 티 안 나게 머리를 잘라줬어,미용실 갔다왔는데 티가 안 나
1460,미운 짓만 해,마음에 안 드는 짓만 해
1461,미쳐,미치겠습니다 연락하고 싶어서
1462,미치겠네,미치겠습니다
1463,미치겠네,미치겠어
1464,미치겠습니다 하,미친게 맞는걸까.
1465,미치도록 보고싶네.,미친듯이 보고싶어.
1466,미친 사람들이 너무 많아,사이코가 너무 많아
1467,미친것같아,미친듯이 힘들다.
1468,미친듯이 덥다,더워더워
1469,미친듯이 보고싶어,미칠꺼 같습니다 정말.
1470,미팅 할까 말까,미팅 할까
1471,미팅에서 번호 딴 애가 좋은데 뭐라고 연락을 할까?,미팅에서 만난애한테 뭐라고 연락을 할까?
1472,미팅한다!,나 미팅한다!
1473,믿지 말껄,믿는 게 아니었어
1474,바나나 먹고 싶다.,바나나 먹어야지
1475,바다 가자고 하면 갈까?,바다 놀러가자고 해볼까?
1476,바다 보러 가자고 말해야겠다.,바다 보러 가자고 해볼까
1477,바다가 가고 싶어요,바다 놀러가고 싶다
1478,바라는게 없어,그냥 이렇게 살고 싶어
1479,바람,바람난건가?
1480,바람이 너무 많이 부네,바람 많이 부네
1481,바쁘네,오늘 좀 바쁘네
1482,밖에 안나가고 이렇게 살고 싶어,앞으로 나가지 않고 이렇게만 살고싶어
1483,밖에서 먹으니까 더 맛있어,야외에서 먹으니까 더 맛있어
1484,반 배정 내가 원하는 대로 될까,반 배정 좀 잘 됐으면 좋겠다
1485,반가워요 반갑구만,반가워
1486,반갑습니다.,반가워
1487,반동거중인 여자친구가 나갔으면 좋겠어.,거의 와서 사는 여자친구가 나갔으면 좋겠어.
1488,반배정부터 올해 끝났다.,반배정 망했어
1489,반장 선거 나가볼까,반장 나가볼까?
1490,반장을 좋아해.,우리 반에 반장을 좋아해.
1491,반장이라서 힘들어,반장은 원래 힘들어?
1492,반지 많이 비쌀까,반지 비싼가
1493,반지 선물 뭘로 할까?,반지 뭘로 선물할까?
1494,반지 선물하면 좋아하겠지,반지 선물하려고
1495,반지 호수 물어볼까,반지 호수 모르는데
1496,발 맞춰 걷는 게 좋더라,나란히 걷는 게 좋더라
1497,발 아파,발 부었어
1498,발라드 추천 좀. 좋아하는 여자애한테 잘 보이고 싶음.,잘 보이게 발라드 추천 좀. 
1499,발레 배우려고,발레 배워보려고
1500,발렌타인데이 선물 비싸,발렌타인데이 초콜릿 비싸
1501,발렌타인데이 선물 줄 사람이 없어,발렌타인데이인데 줄 사람이 없어
1502,발렌타인데이에 고백할까요?,이번 발렌타인데이에 고백할까요?
1503,발목 접질렀어,발목 다쳤어
1504,발목 접질렀어,발목 삐끗했어
1505,발톱 손질 받을까,패디나 할까
1506,발표 잘 하고 싶어,발표 무사히 끝내고 싶어
1507,발표 준비 너무 힘들어,발표 준비하느라 힘들어
1508,발표가 안나,중요한 발표 기다리고 있어
1509,발표할때 자꾸 떨려,발표할때 너무 떨려
1510,밝은 사람 만나고 싶어,환한 사람 만나고 싶어
1511,밤 12시야,12시 땡!
1512,밤새 그리워서 편지 썼어,그립다고 밤새 편지 썼어
1513,밤샜어,해 뜨는 거 보고 잤어
1514,밤이 더 힘들어,힘든 밤입니다
1515,밤인데 전화해도 되나,늦은 시간에 전화해도 되나
1516,밥 너무 많이 남음,밥 너무 많이 함
1517,밥 먹다 옷에 흘렸어,밥 먹다 흘렸어
1518,밥 먹었는데 배고파,밥 먹었는데도 또 배고파
1519,밥 먹었어?,너는 뭐 억었어?
1520,밥 뭐 먹을까,오늘은 뭐 먹을까?
1521,밥 태웠어,밥 탔다
1522,밥벌이 뭐하나,어떻게 벌어 먹고 살지
1523,밥생각이 없어,식욕이 없어
1524,밥이 없어,집에 먹을게 없어
1525,밥이나 먹자,밥먹자.
1526,방금 너무 울었어,방금도 엉엉 울었네
1527,방들이 준비 뭐하지?,방들이 귀찮아
1528,방법도 안 말해주고 그냥 열심히 하래,모르겠는데 노력하래
1529,방에 먼지가 한가득,먼지가 쌓였네
1530,방탈출 게임 갔다왔어.,방탈출 게임 했어
1531,방학은 너무 심심해,방학했더니 심심해
1532,방학이 끝났다니,개강이라니
1533,방학이 필요해,방학이 있었으면 좋겠어
1534,방학인데 집에만 있어.,방학에 만날 사람이 없네
1535,배 아파서 기분이 안 좋아,배 아프다
1536,배 터지겠다.,배불러
1537,배가 너무 고파,배고파
1538,배가 넘넘 고파,배고프다.
1539,배고파 죽을 것 같아 힘이 없어,배고파서 힘이 없어
1540,배고파서 자다 깼어,배고파서 일어났어
1541,배고프당,배고파
1542,배고프면 예민함?,공복이면 예민함?
1543,배려 없는 사람 어떡해?,배려 할 줄 모르는 사람 어떡해?
1544,배려 있는 사람이 좋은데,배려 잘 하는 사람이 좋은데
1545,배려가 너무 없어,배려가 없어
1546,배부르고 졸려,배부르니 졸리다
1547,배불러서 배 터질 듯,배 터지겠네
1548,배송 중이래,배달 중이래
1549,배에서 꾸룩꾸룩 소리 남,배에서 소리 남
1550,배우자가 생긴다는 것,배우자가 생겨
1551,배우자라고 하니까 이상해,배우자라니 어색해
1552,배워도 모르는 게 너무 많아,모르는 게 너무 많아
1553,배터리 간당간당,폰 베터리가 없네
1554,백조됐어,나 백수야
1555,뱃살 나와,뱃살 나온 거 같아
1556,뱃살 빵빵,뱃살이 잡혀
1557,버려야 되는데..,버릴 건 버려야 겠지
1558,버려졌다는느낌,버려진 사람들을 위한 지침
1559,버리기 아까운데 리폼 해볼까,리폼 해볼까
1560,버림 받은 느낌,나 버림 받은 거 같아
1561,버스 기다릴 때 가면 자꾸 생각나,버스 정류장하면 생각나
1562,버스 멀미하는 것 같아,버스 멀미나
1563,버스 정류장에서 기다리고 있었어.,버스 정류장에서 기다리던 사람
1564,버스가 안와,버스가 왜이렇게 안오지
1565,버스에서 매일 보는 사람,매일 타는 버스에서 보는 그 사람
1566,버스타면 힘든데 그냥 택시탈까,버스탈까 택시탈까
1567,번호 따볼까나,번호 달라고 해볼까?
1568,벌써 가족 같아,벌써 가족 같아
1569,벌써 방학 끝이라니,벌써 개강이라니
1570,벌써 생활비가 없어,생활비 다 썼네
1571,벌써 허기진다,허기져
1572,법을 피해가는 사람,법을 요리조리 피해가는 사람
1573,벚꽃구경 가고싶다.,꽃놀이 가고 싶어
1574,벚꽃이 너무 예뻐,벚꽃 예쁘다
1575,베란다도 꾸미니까 예쁘더라.,베란다 좀 가꿔볼까
1576,베터리 겨우 15%야,베터리 15%야
1577,베트남 사업하기 좋을 것 같니?,베트남에서 사업해볼까?
1578,베트남어 배우는 거 어떻게 생각해?,베트남어 배울까
1579,베프랑 다툼,친한 친구랑 싸웠어
1580,베프랑 싸움,친한 친구랑 싸움
1581,변기 막혔는데 아무 생각이 안 난다.,변기 막혔어
1582,변명거리가 생각이 안나,변명거리 생각해봐
1583,변하지 않는 사람도 있겠지?,변하지 않는 사람도 있겠지?
1584,변한게 하나도 없어,변한게 없어
1585,변화가 없어,하루하루가 똑같애
1586,변화를 좀 주고 싶다.,나 바뀌고 싶어
1587,별 보러 시골 가고 싶다,별 보러 가고 싶다
1588,별 사람이 많다,사람은 진짜 다른 가봐
1589,별 일 없었어?,너는 아무일도 없었나봐?
1590,별것도 아닌 거 가지고 트집잡는 사람 어떡해?,사소한 걸로 트집잡는 사람 어떡해?
1591,별님에게 물어 보렴,별들에게 물어봐
1592,별로인 거 알면서도 좋아하는 내가 이상해.,별로라면서도 좋아하는 내가 이상해.
1593,별의별 사람이 다 있는 듯,진짜 별 사람이 다 있어
1594,병무청 시계는 지금도 간다,군대 언제 끝나나
1595,병원 너무 가기 싫다,병원 가기 싫어
1596,보고싶다,보고 싶어 사무칠때
1597,"보고싶다, 목소리라도 듣고싶어",보고 싶어 전 남자친구가 너무
1598,보고싶다는 생각이 너무 간절하네,보고 싶은데
1599,보고싶어,보고파
1600,보고싶어 잠이 안와,보고프다
1601,보이스피싱 같아,보이스피싱인듯
1602,보이스피싱 같은데,나 보이스피싱 당한 거 같은데 어떡해?
1603,보이스피싱 전화왔어,보이스피싱 당했어
1604,보일러 틀어놓고 나왔어.,보일러 틀고 나갔어ㅠㅠ
1605,보조 배터리 안 가지고 왔다,충전기 안 가지고 왔다
1606,보증금 모잘라,보증금 마련하는 게 쉽지 않네
1607,보통 썸이면 밀당해?,썸이면 보통 밀당하나?
1608,보통 좋아하는 애 생기면 먼저 연락해?,좋아하는 애 생기면 먼저 연락해도 돼?
1609,보통 좋아하면 먼저 연락하나?,좋아하는 사람이 먼저 연락하는게 이상해?
1610,보험 많이 들었어,보험 많이 든 거 같애
1611,보험료 설계 다시 해야 하나?,보험료 재설계 해야 하나?
1612,복 받겠지?,착하게 살면 복 받겠지?
1613,복근 좀 생겼으면,복근 만들어야지
1614,복붙으로 끝내더라.,완전 복붙으로 잘하더라고
1615,복전신청했어,복전했어
1616,복전하고 싶어,복수전공하고 싶어
1617,복전하면 힘들텐데 그래도 하는게 나을아?,복전하면 좋아?
1618,본능적인 끌림,이상하게 끌려
