,Q,A
330,내 신발에 있는 무민이들 나들이 나왔어요.  ,진짜 귀여워요. 원래 신발에 그려져 있는 애들이에요? 
331,백미 초파리 잡으면 꼭 먹을래요. 그 조그만 거 먹어서 간에 기별이나 가나요?,새콤달콤 같은 것도 꼭 간에 기별이 가서 먹는건 아니잖아요.
332,딤섬! 내가 좋아해요! ,안녕하세요! 딤섬이 무엇인가요?
333,아무래도 난 계란계란님 만화랑 개그코드가 제일 잘 맞는 것 같아요. ,학원기이야담인가 그 만화 그리신 분이었던가요? 
334,내 사랑스러운 간식들.,마카롱 진짜 작아요. 귀여워요. 
335,뭘 먹어야 할까요? 배가 고프고 오늘도 혼자서 맛있는 걸 먹을 건데 뭘 먹고 싶은지 감이 오지 않네요.,여러분이 지금 먹고 싶은 걸 부디 추천해주세요.
336,우리 동네에 인형가게 없죠? ,인형 가게요? 어떤 인형 가게요? 
337,내 옷도 안 사는데 내 애들 옷을 사고 있네요.  ,"아, 여빈님 너무 귀여워요. 내 새끼들이 중요하죠."
338,"휴, 덥네요. 집에 짐 두고 주스나 하나 마시러 가야겠어요.",그곳이 저희 가게예요?
339,애쉬 바이올렛으로 염색하고 싶은데 염색약 괜찮은 것 없나요? 애쉬 계열 색  잘 빠져서 미용실 가기엔 돈 아까울 것 같아요. ,웰라 염색약이요! 아니면 헤어매니큐어도 괜찮으면 안토시아닌이요! 
340,비앤비라고요? 대박이네요. 엄청 좋네요. 가격이 어느 정도 해요? ,8만 원대요.
341,태블릿 내일이나 모레 중으로 올 거 같아요! 중국에서 인천으로 왔어요.,우와! 어떤 브랜드 제품 사셨나요! 
342,상병이 25만 원 이래요.,와우! 많네요. 근데 px가격 오른 거에 비하면 그래도 부족해보이네요. 게다가 애초에 최저임금도 안 되고요.
343,"와, 아까 엄청 잘생긴 안경 미남 손님 왔다 갔어요. ",붙잡고 빵을 먹여서 못 나가게 했어야죠.
344,버거킹은 우리 집 근처에 걸어서 갈 수 있어요.,진짜 부러워요.
345,두부 부치려고 했을 뿐인데 팬에 불붙어서 불 쇼했어요.,그것은 찌개용 두부였어요.
346,에어컨을 튼 지 한 시간이 넘었는데 아직도 너무 더워요. 어쩌면 더운 게 아니고 열이 나는 건가요? ,저만 그런 게 아니었나 봐요. 에어컨 파워 냉풍에 선풍기를 같이 틀었는데도 집보다 아파트 복도가 더 시원하네요.
347,배고파요. 떡볶이 먹고 싶어요.  ,빌라드 스파이시 맛있죠! 
348,누가 과자 사서 문병 좀요.,어디 있어요? 
349,갑자기 생각난 게 나 일본 갔을 때 어느 가게 들어갔는데 400엔을 400원으로 내놓고 간 한국인이 있었어요. 인간적으로 그러지 말아요 제발. 옆에서 보는 내가 부끄러워 죽는 줄 알았다고요.,"아니, 어떻게 400원을요? 아니 웃으면 안 될 것 같은데 어이가 없어서요. 어떻게 저렇게 개념이 없는 사람이 있을 수가 있죠? 상식이 있다면 엔이랑 원이랑 헷갈린 건 아닐테고 관심병이었을까요? 진짜 저런 사람이 있다는 게 믿기지가 않아요. "
350,홍대 제과점 다녀왔는데 정말 퀄리티는 인정해요. 악마의 열매 케이크도 팔고요.,오! 재밌었겠어요.
351,이럴 수가! 여러분 저희 동네에 국카스텐 오는 거 실화에요?,진짜요? 진짜 국가스텐 와요? 진짜요?
352,"아, 진짜 미쳤나 봐요. 목 어쩔까요. ",왜 그래요 목?
353,와. 나 담배가게 아저씨 직접 들을지 몰랐어요. ,담배가게 아저씨 들었어요?
354,그제는 핸드폰 손에 쥐고 가방에 핸드폰 없다고 난리 치더니 오늘은 고무줄 없다고 난리였어요. 인생 원래 다 이러고 사는 거죠?  ,나도 그래요. 폰 바지 뒷주머니에 넣어 놓고 카페에 두고 왔어 이러고요. 
355,웃긴 건 삼겹살 먹는 장소가 치킨집이에요. ,닭 집에서 돼지를 구워요?
356,확실히 일요일 주말에 도쿄행 버스를 타는 것은 위험이 따르네요. 그냥 전철 탈 걸 그랬어요. ,메모해둬야겠군요. 그래도 잘 도착한 거 같아 다행이에요.
357,난 뭐 하나 꽂히면 그거만 먹는데 이번엔 짜장밥에 꽂혔어요. 엄마가 반찬가게에서 사오셨는데 매끼 그거만 먹고 싶어요. 근데 너무 빨리 없어지는 게 싫어서 오늘 아침도 다른 거 먹었어요. 집 가서 빨리 그거 먹을 생각뿐이네요. ,전 베이컨요. 숨길 수 없는 고기 사랑이죠? 
358,"오늘 먹은 거는 모두 이렇게 돼요. 혼카츠에서 안심하고 치즈 돈까스, 나가사끼에서  불 라멘,  달꽃크레페에서 누텔라 딸기 바나나 생크림 크레페요.  ",크레페 어디서 먹어요? 어디서 사셨어요? 서울에서요? 
359,여름 방학 때 기차 타고 부산으로 가서 아쿠아리움을 가고 싶군요. 아쿠아리움 옆에  바다 있지 않나요? 어릴 때 한번 가 본 게 다라서 잘 모르겠네요. ,저 부산 살아요!
360,그 뭐죠? 기프티콘 잘 써본 사람 있으세요? 저 선물 받았는데 안 쓸 거 같은데 가지실 분 있으세요? 초코에몽요.  ,저요! 
361,"요즘 영양제에 관심이 많아져서 멀티비타민, 오메가3, 아연, 레시틴 4가지를 꾸준히 먹고 있는데 딱히 체감이 오진 않아요. 회사에선 항상 피곤해요. ",진짜로 우루사는 효과 있어요. 피곤엔 이게 효과가 빨라요.
362,내 동생이 문구점에서 파는 2천 원 짜리 다마고치 사 왔어요. 그 와중에 내가 가지고 있는 선스틱이랑 많이 비슷해요.  ,와! 어디서 본 것만 같은데요? 
363,사랑하는 사람에 우리 형 들어가는 건 어떻게 알았어요? 저녁 챙겼어요? ,늦은 점심이자 이른 저녁에 먹었어요. 집에 재료가 있어서 간단히 카레 만들어서요. 주말이라 가게 바쁘진 않았어요? 
364,이제 여름이고 해서 새 옷 좀 살라는데 왜 이렇게 구린 것뿐일까요? ,여름 옷은 진짜 살 거 없어요.
365,귀 뚫고 싶어요. ,나도요. 보통 어디서 뚫어요? 김해는 없죠? 
366,철도에는 왜 돌멩이가 깔려있나요? 궁금해요.,자갈도상 궤도의 장점은 소음이 적고 배수에 아주 용이하고 그리고 가격이 다른 도상 설계 법에 비교하면 굉장히 저렴하기 때문에 자갈도상 궤도를 사용하죠.
367,서울 살고 싶어요. ,어디서 어디 가시는 거예요?
368,깐도리가 요즘도 있네요. 이거 아시는 분 있나요?,예전 그 맛이 아니던데요. 50원짜리 깐도리 무척 좋아했었거든요.
369,우리 학교 근처 아르바이트 구하는 곳들 거의 다 시급 4000원이거나 4500원 주는데 다른 지역에서 살던 동기가 여기 왜 이러냐고 물어봤었어요.,그러게요. 근데 여기만 그런 게 아닌 거 같더라고요. 
370,피방에 팝콘 사갈게요. ,진짜 팝콘을 튀기는 군요. 
371,"아, 피곤한데 기숙사 가 볼 타이밍 좀 재볼까요?",차라리 찜질방은요? 
372,"올해 만날 수 있는 사람들은 잔뜩 만나고, 그릴 수 있는 건 잔뜩 그리고, 할 수 있는 건 잔뜩 해놔야 할 것 같아요. ",올해도 잔뜩 하시고 내년에도 잔뜩 하시면 되죠. 근데 치자피즈님 확실하게 만나려면 올해 한국에 가야 하는 건가요.
373,이 층짜리 고깃집이고 엄청 크고 을지병원 사거리인 거 같은데 가게 이름이 생각이 이렇게 하나도 안 날 수가 있을까요! ,혹시 삼겹살집 말씀하시나요? 
374,대학로에서는 뭐하고 놀아요? 밥 먹고 공연보는 것 밖에 안 해봤어요. ,사람들하고 같이 있으면 방탈출하고 두명이면 안마카페 추천해드려요! 혼자 있다면 역시 공연기다리기 또는 공연기다리기 혹은 공연기다리기가 있어요. 
375,정말 우리 기계도 삼천만 원이라 가격 말하면 만지려다 흠칫들 놀라셔요.,에스프레소 머신요? 
376,내 저녁이에요.,아보카도는 무슨 맛인가요? 
377,결국 치킨과 맥주를 시켰어요. 먹고 일찍 자야겠어요.,무슨 치킨 시키셨나요?
378,수중촬영해 보고 싶어요. 이번 연도 안에 할 수 있을까요?,저도요.
379,왜죠? 나 방금 숨쉬기 밖에 안 했는데 왜 갑갑하죠?,"아, 내일이 월요일이라서 그런가요? "
380,주말에 우리 가게에서 점심 때우는 간호사들이나 다른 아르바이트들 보면 1초 동병상련이 느껴져요.,우리 모두 동일 노동 동일 임금! 구호를  외쳐요.
381,방금 닭발 먹고 왔는데 국물에서 거즈 나왔어요. ,이런!
382,부산까지 자전거를 어떻게 갖고 가요? ,부산에서 다시 어떻게 갖고 와요?
383,무한리필 집 혼자 가면 안 되나요? ,혼자 가서 가게를 탈탈 털고 오는 거예요. 저처럼요. 
384,과제 싫어요.,과제 많아요?
385,"네일 숍 가면 이런 손톱도 괜찮은가요? 아, 근데 너무 못났어요.  ",인공적으로 손톱 연장도 해줘요! 그래서 길이나 모양 상관없이 할 수 있을 거예요.
386,"아, 쓰레기 버리러 가야 하는데 세상 귀찮네요. ",맞아요. 하지만 잘 버리게 되는 방법이 있어요. 그건 쓰레기에서 바퀴벌레와 마주하는 것이지요.    
387,슬슬 데스크톱 맞춰 보고 싶어요. ,데스크톱 맞출 때 견적 보내주세요. 싼 가격 알아봐 드릴게요.
388,혹시 누드 크로키라던가 인체 배우기 좋은 책 아는 분 계시나요?,저 잘은 모르겠지만 보통 크로키는 루미스 많이들 얘기하지 않나요? 안 그래도 저작권 만료돼서 무료 다운된다고 하던데요.
389,오늘 잔다고 아침만 먹었는데 이 시간에 뭐 먹기는 또 그렇네요.,까치님. 엄청 배고프실 것 같은데 과일 있으시면 과일이라도 드세요.
390,컵밥 맛있었어요!,맛있겠네요.
391,내일 휴강이라 학교 안 가는 사람 저예요!,부러워요! 저는 야자하고 학원까지 가야 해요.
392,얼마 전에 강남 가서 먹은 카레 너무 맛있었어요. 에베레스트 카레도 먹고 싶어요. ,가게 이름이 뭐예요?
393,중국 고대에서 여성 억압에 대한 상징으로 대표되는 전족을 왜 했냐고 물어보면 정말 순진한 사람들이 발이 작은 사람들이 당대 미인으로 꼽혀서라고 말하는데 도대체 얼마나 미화시켜 알고 있는 건가 생각해요.,성적인 의미 아니었던가요? 뭐였죠?
394,"아, 학교 환멸 나요.",안 가면 가고 싶고 갈 때는 가기 싫던 곳이에요.
395,"편의점 갔다 왔는데 앞에 계산하던 사람한테 아르바이트 생이 담아드릴까요? 물으니까 아, 그럼 어떻게 들고 가라고 이러는데 그냥 네 하면 될 거 가지고 왜 사람 무안주고 그럴까요. ","아, 진짜 그런 사람 너무 싫은데 진짜 많아요. 그냥 들고 가는 사람도 있고 먹고 가는 사람도 있으니 그냥 예의상 묻는 건데 저런 반응이면 주기 싫고 봉투값 받고 싶은 심정이에요."
396,카메라는 어디 거가 좋아요? 그냥 궁금해서요.,Dslr? 미러리스? 
397,배고파요. 어제 먹은 건데 또 먹고 싶어요.,부디 저도 데려가 주세요.
398,과제 제출 30분 전에 3일 미뤄졌다고 공지 떴어요.,미뤄진 건 다행이긴 한데 이게 뭐예요. 그리고 연산자 아무것도 못 쓰게 해놓고 이럼 어려울 거 같다고 써도 된다고 스펙도 바꿨어요. 그거 안 쓴 사람은 뭐가 돼요 진짜. 물론 난 연산자 안 쓰고 못하겠기에 포기했어요. 
399,아트북인가? 생각한 것 보다는 가격이 싼 것 같아요.,얼마에요?
400,에어브러시 검색했다가 중고로 사도 꼭 필요한 장비만 50은 깨질 것 같아서 관뒀어요.,저 그거 앞에 뿌리는 부분만 가격 보고 생각보다 싸네 했는데 본체가 따로 있어야 한다는 걸 깨닫고는 접었어요. 마치 카메라 본체와 렌즈 그 두 개가 따로 있고 개별 가격이라는 것을 깨달았을 때의 기분이네요.
401,전 내일 수학여행 가요.,한님 재미있는 수학여행 다녀오세요.
402,미치겠어요. 동생이 갑자기 들어오더니 벌레라고 해서 봐봐라고 했는데 가구 밑으로 들어갔나 봐 이러곤 나갔어요. 어떻게 잘까요? 의자에 앉아서 책상에 다리 올리고 자야 될 것 같아요.,돈벌레 같은 건가요. 다리 많은 벌레 혐오스러운데요. 
403,날이 더워요. 그렇죠?,낮엔 덥고 밤엔 추워요. 그렇죠?
404,무선 충전기는 그다지 정품 살 이유가 없어요. 그냥 싸고 적당히 좋은 거 사세요. ,이전 세대 정품은 2만 원이면 살 수 있으니 그거 사는 게 가장 현명해요.
405,무동건곤 촬영이 언제 끝날지 배우인 본인도 모른다네요.,역시 장려 감독님 작품답네요.
406,나는 학교도 서울이고 집도 서울인데 왜 왕복이 3시간 걸릴까요? 학교가 이사 왔으면 해요. 너무 화나네요.,뭔가 공감 되네요.
407,저 혹시 이어폰 남으시는 분 중 한쪽만 들려도 좋으니 기부해주실 분 계시나요? 제가 다음 그 다음 달까지는 이어폰 없이 살아야 하는데 본가에 이어폰이 잔뜩이라서요. ,한쪽만 들리는 거라도 우편으로 보내 드릴까요? 여러 개 있긴 한데 이런 걸로 괜찮은가요?
408,노량진 어뮤즈에 관련된 이야기 해 드릴게요. 작년 12월 말에 원정 와서 핫도그 2일동안 18개 먹은 사람 있어요.,바로 앞에 핫도그 가게 진짜 좋아요.
409,뭐죠? 청강대 수영장 생긴대요? ,7시간 전에 공지 떴어요!
410,탕수육 먹고 싶어요! ,저도요! 안 먹은 지 엄청 오래된 거 같아요.  
411,일요일에 불합격 통보를 받는다는 건 주말 출근하는 회사를 안 가게 돼서 다행인 걸까요 아니면 그냥 불합격 자체로 기분 나쁜 걸까요?,다행이다 생각하세요. 
412,홍대 맛있는 술집 추천받아요. ,주종은 상관없나요?
413,작년에 갔을 때 저 병맥주 나발 불었던 거 너무 맛있었고 포도 맥주가 진리였어요. 출국하는 날 아침에도 두 캔 까서 마셨어요.,해장으론 이 라면이 최고였어요.
414,2학기까지 65학점이면 그냥 일반적인 거였군요. 재수강하면 말이 달라지겠지만요.,2학기에 65학점이요? 그게 가능해요?
415,오늘도 재밌었어요. 명량 핫도그 못 먹은 건 좀 아쉽네요. ,진짜 맛있는 데 아깝네요. 이번에 모짜 체다 새로 나왔으니 치즈 좋아하면 추천이에요.
416,"아니, 술 취햤으면 집에 가지 왜 화분을 부실까요?",설마 옆에 있다가 다치셨어요? 
417,새로 생긴 돈가스 집 너무 맛있고 다시 가고 싶은데 혼자 먹기는 어색해서 싫어요.,혼자 먹는 거 익숙해지면 정말 편해요! 
418,턱 갸름해지고 싶어요. 깎고 싶어요. 그렇지만 칼 대는 건 무서우니 주사 맞고 싶어요.,주사 맞는 건 얼마 안 해요. 효과도 꽤 오래가고요. 대신 애초에 턱뼈 때문에 큰 사람은 효과 없고 근육 때문에 커 보이는 사람들만 효과가 커요.
419,배 아파요.,세상에 배탈 나신 거 아니시고요?
420,그 겟아웃 보신 분들 스포일러는 하지 말고 대충 어때요? 많이 무섭고 막 그래요? ,저도 못 봤는데 마지막에 징그러운 게 좀 나온다고는 들었어요.
421,케밥도 먹고 싶어요. 저 우리 반에서 알아 줄 만큼 케밥 좋아해요. 제가 제일 좋아하는 건 이태원 역에서 나와서 쭉 걸으면 있는 미스터 케밥의 닭고기 케밥이에요.,"아, 저두 케밥 좋아해요. 케밥 먹고 싶어요."
422,바나나가 그리 떫은 게 별로이던가요? 난 잘 익은 바나나의 단맛을 싫어해서 안 먹고 덜 익은 바나나만 골라 먹는 외로운 사람이에요. 풋내와 미끌미끌하면서도 떫은 맛이 내가 사랑하는 맛이죠.,저도 잘 익은 바나나의 칼칼한 단맛과 물컹함보다는 차라리 조금 이제 파란색 거의 가시고 약간 덜 익어 단단한 상태가 그나마 좋아요.
423,배고파요. 내일은 뭐 먹죠? ,사케동요.
424,쇼트커트인데 눈이 순한 캐릭터들 좋아요! 예를 들면 하나의 클라라 같은 캐릭터요.,클라라 좋아요. 하나 진짜 재밌게 봤었는데 여운 장난 아니었어요.
425,무슨 차이가 있으면 120만원이나 하는 걸까요?,처치워든 파이프가 120만 원요? 브랜드가 어디인가요? 
426,너무 슬퍼요.,넌 또 왜 슬퍼요?
427,초중학생 때만 해도 찜질방 자주 갔었는데 요즘은 잘 안 가게 돼요. 나만 그런 건가요? ,저도요. 어릴 땐 진짜 자주 갔는데 점점 그곳의 로망은 없어지고 불편한 잠자리 진상들 등등 때문에 잘 안 가지는 듯해요.
428,으. 빨리 한국 가고 싶어요. ,언제 와요.
429,빨리 수요일이나 됐으면 해요. 수학여행 가게요. 갔다 오면 금요일 토요일이에요.,저는 오늘 가요.
430,어우 지호 보고 싶으니까 일본도 가고 싶어요.,잘 가요.
431,우리 집 쥐새끼. 아니 햄스터는 정신없이 냉장고 뒤로 들어갔어요. ,햄스터가 냉장고 사이에서 얼굴만 내밀고 내 눈치 보던 눈빛이 아직도 잊히지 않아요. 나쁜 쥐새끼 내가 조금만 움직이면 머리 집어넣고 구석으로 들어가 버리고. 결국 3일째 되는날 밀웜으로 꼬셔서 잡아서 다행이죠. 어휴.
432,일본 사람들이 찾아올 정도로 맛있는 오므라이스를 하는 쌈밥집이라니요. 일본 드라마 심야식당에서 고아성 나오는 에피소드가 있죠. 일본에 돈 벌러 간 고아성이 남자를 만나고 저희 집에 빛이 많아서 흑흑하며 한국에 돌아와 오므라이스로 성공하는 이야기죠. 근데 왜 쌈밥집을 섭외했냐고요.,계란에 밥을 싸서요.
433,수면제 처방 되냐고 물어봐야겠어요.,아 근데 수면제 너무 오래 자서 괴로워요. 꼭 처방 아니더라도 수면유도제 같은 건 약국에서 사실 수 있을걸요? 
434,벌레 잡아주지도 않을 거면서 벌레가 널 무서워한다고 하는 거 너무 짜증 나요. 난 진짜 죽을 거 같다고요.,벌레 최고 잘 잡는 사람 필요하겠어요. 인간세스코? 
435,저 샤브샤브 먹고 싶어요. 인천 오실 분 있으신가요. ,이번 주에 조별과제 모이는 거 없으면 토요일이나 금요일에 갈 수 있어요. 사람 모이면 저도 갈게요.
436,"아, 불닭 너무 매워요. ",아. 불닭 먹고 싶어졌어요. 
437,늦은 주말 오후 우래옥에서 불고기 2인분에 소주 마시다가 냉면 먹고 있으면 왠지 성공한 어른의 느낌이 나요.,제가 우래옥 비빔냉면 맛있다는 이야기는 전에도 여러 번 했었죠. 저보고 서울에서 제일 맛있는 비빔냉면 꼽으라고 하면 단연 우래옥요. 개운한 매운맛이에요.  
438,속 안 좋아서 끙끙 거리고 있는데 언니가 계속 일어나라고 하네요. 하지만 난 효과적으로 무시할 수 있어요. 전 이미 지각을 할 거라 마음을 먹었고 선생님한테 드릴 문자도 다 생각해 뒀어요. ,"와, 똑똑하시네요. 부러워요."
439,하 진짜!,왜요? 뭔 일이에요?
440,전동 지우개 배터리 분리해서 가세요. 가면서 배터리 다 달면 끔찍해요.,배터리는 생각도 못했어요. 그냥 너무 귀찮아서 맨날 연결해놓고 윙윙거릴때 겨우 눈치채버리고요.
441,시아 성장판 요즘 왜 멈췄어요?,누나가 참 다재다능한데 성장판은 어떻게 못해요.
442,음. 역시 2호선은 몇 시에 타도 지옥이네요. ,가축 수송 끝판왕인 듯해요.
443,학교가 고파요. 누군가가 보고 싶네요. 그리워요.,언니 왜 안 왔어요.
444,더워요.,여기도요.
445,사실 수영장 가려고 로비 옆 가게에서 수영복에 숄까지 다 사놓고 카지노 돌고 있어요. 아까 잠깐 나갔더니 햇빛이 아주 따가웠거든요. 건물 안이 최고인 거 같아요.,과연 모하비 사막 한복판 답네요. 그냥 도박을 하세요.
446,진짜 날 잡아서 핸드폰 끄고 살고싶어요. 해볼까요?,그리고 아이패드를 잡겠군요.
447,혜운이 요술봉 사 온다는 거 보고 빵 터졌어요.,호기심 많은 조선시대 사람이에요. 소리 나고 짤랑거리는 거 좋아해요. 이런 거요.
448,황제 다이어트 경험자분 계세요? ,한가지 먹는 거 정말 정말 물려요. 힘들기도 하고요. 사실 탄수화물만 덜 먹어도 살은 잘 빠지더라고요. 저 갱생 가기 전에 2주 동안 4킬로 뺏었는데 한 끼만 밥 두 숟갈하고 반찬 조금 먹고 두 끼는 두유 먹고 하루 3시간씩 운동을 했죠.
449,배터리 30퍼센트인 거 현실이까요? 보조배터리 안 가지고 온 거 현실일까요?,오! 이런!
450,어제 새벽에 위가 너무 아파서 응급실 다녀오고 지금까지 아파서 아르바이트에 문자 보냈는데 답장이 참 가관이네요. 나도 아프고 싶어서 아픈 것도 아니고요. 서럽고 아파서 출근 못하는 것도 눈치 보이네요.,언니가 아픈 건 진짜 어떻게 할 수 있는 게 아니잖아요. 근데 저런 식으로 말하면 너무 서럽네요.
451,잘 지내고 있나요? ,잘 지내고 있어요. 일하느라 취미생활을 못해서 슬프지만요. 뮤뮤님도 잘 지내고 계세요? 
452,점심 지나면 부장님의 트림 메들리가 시작돼요. ,너무 싫어요.
453,그쪽이 예뻐서 말 걸었어요. 반가워요. ,제가 예쁜데 왜 그쪽이 말을 걸어요.
454,동성로 현대백화점 외부 주차장 쪽에 콩국수집 있는데 진짜 천상의 맛이에요. ,"아, 콩국수 먹고 싶었는데 가봐야겠어요."
455,옆 옆 옆집 과일주스 가게 왔는데 이모님께서 나 평소에 많이 예뻐해 주셔 가지고 언니랑 먹으라고 타르트 두 개 주셨어요. 나는 사랑받는 편의점 점주님이에요.,맛있겠어요.
456,"아, 우리 회사 왜 이럴까요 진짜. 소화 못 할 정도로 일정 매우 힘들게 잡아 놓고 내가 힘들어하니까 말하지 그랬냐고 그래서 방금 또 그렇게 하려는 거 힘들다 얘기했더니 할 수 있을 거라고 계속 뭐라 그러네요. 아니 말하 나마나 뭔 소용이에요. 아, 화나네요. 내가 나를 더 잘 알죠. ",혹시 해보지도 않고 힘들다고 말한다 하지 않나요? 저도 전 회사가 그래서 퇴사했어요. 자기 입장만 생각해서 말하는 곳은 있을 필요가 없더라고요.
457,"화, 수, 목, 금요일만 버티면 주말이네요. 신나요.",오늘은 안 버티셔도 되는 건가요? 
458,아침 태양 너무 뜨겁네요. 역시 일본이네요.,일본이에요?
459,이빨 완치 시켰을 때 견적 나왔어요. 약 450만원이네요.  ,이럴수가! 역시 치과는 무서워요. 
460,도서관 자료실에만 들어가면 갑자기 똥 마려운 사람들의 모임 같은 건 없나요? 서가에 가서 책들 냄새를 맡는 순간 이상하게 화장실을 가게 돼요. ,마음의 평화가 와서 그런 걸까요?
461,"오, 집에서 가까운 곳에 왁싱 숍이 있어요.",오. 왁싱요?
462,인터넷에 접근하기 힘들고 그마저도 규제가 심한 쿠바에서 게임을 즐기고자 하는 이들이 만든 사설 네트워크를 심층 취재한 기사가 있는데 완전 재밌어요.,"Snet에는 다음과 같은 규칙이 있어요. 마약 정치 종교에 관련된 이야기는 금지하고,  포르노는 공유를 금지하죠. 네트워크 접속 권한을 판매하는 행위, 노드에 인터넷을 연결하려는 행위, 현실에서 Snet 을 이야기 하는 것 모두 금지에요. "
463,아! 학교 안 가니까 너무 좋아요.,나슈님 너무 부러워요. 전 지금 좀 있을 오후 수업 자제적 휴강 충동이 들어요.
464,점심 뭐 먹죠?,냉면이요.
465,"오늘 이케부쿠로를 가야할까요, 아키하바라를 가야할까요? 고민되네요. ",둘 다 다녀오시면 돼요.
466,뭘 먹죠? 1시에 봉사 가야 하는데요.,또 봉사 가요?
467,내가 어제 뭐 하다가 강남역에 대만 간식 파는 가게 있다고 들은 것 같은데 대체 뭐하다 본 걸까요?,뭐긴요. 소금 커피 찾다가 그랬겠죠.
468,다시 출장 가요. 열도에서 필요한 거 있으면 말씀하세요.,곤약 젤리가 먹고 싶어요.
469,돈이 없기 때문에 점심은 기숙사에 가서 먹어야 겠어요.,저처럼 굶으셔야죠!
470,가게 이름이 쟈니로켓이라길래 홀린 듯이 들어갔어요.  ,앗 쟈니로켓이라니 맛있어요? 나 역시 홀린 듯 들어간 기억이 있어요.
471,부산 왕복 끊었어요. 역시 비싸요. ,왜 가요?
472,새로 생긴 일본 가정식 집 갔는데 6500원이에요. 저렴한 듯하네요. ,어디죠?
473,데이터 다 써서 지하철 와이파이 쓰는데 너무 느려요.,"아, 쿠얌님. 혹시 통신사 어디 쓰세요?"
474,치즈케이크 자랑해요. 동생이 만들어 줬어요. ,호에 동생님 능력자네요. 맛있어 보여요. 
475,나카다시님이랑 밥 먹었어요.,어딘가요?
476,고양이 너무 키우고 싶은데 고양이 키울 때 꼭꼭 고려해야 하는 거나 단점 등을 자세히 알고 계신 분 한 번만 알려주실 수 있나요. 장점은 백만 스물 한 가지 알고 있으니까 단점만요!,물건을 밀어서 떨어트려요!
477,오늘 오후 수업 없어요. 노래방 가야겠어요.,오! 도원경 노래 떴어요?
478,예쁘고 발색 좋은 빨간 렌즈 아시는 분 있으세요?,렌즈 미 코스프레 렌즈 빨간색이 발색 자연스럽고 예뻐요. 같이 사러 가요. 
479, 너 아르바이트 언제부터야?  ,나 그 때 전화 왔을 때 25일 전후에 일한다고 생각하고 그전에 연락 준 댔으니까 오늘 내일 중으로 전화 오지 않을까요? 리모델링 늦어져서 최대로 늦춰졌을 때가 30일이라 했어요.
480,카페 차리면 다락방 꼭 만들 테니까 더운 여름에 에어컨 빵빵하게 틀고 낮잠 자고 싶으면 놀러 오세요. 물론 팔다 남은 마카롱이랑 머랭 쿠키 폐기는 덤이에요! ,꿈틀꿈틀 기어갈래요.
481,그 회사 어디에요? 직종을 변경해서라도 가야겠어요.,남성 임원보다 여성 임원이 더 많은 반도체 회사래요.
482,오늘 케이크 못 먹을 거 같아서 어제 먹은 예쁘고 맛있는 브라우니 사진 보네요. 생일 축하해요 준면씨.  ,접시도 예쁘네요.
483,아니 근데 진짜 뭐 어떻게 해야 사람 어금니가 김밥에서 나올 수가 있죠? ,그니까요. 솔직히 일하다가 뽑혔다 뭐 이런건 말도 안 되고 진짜 그냥 들고 가서 집어 넣었다는 그런 생각이 들어요. 
484,"아, 휴강 뜨니까 남은 수업 더 가기 싫네요.",뭔 느낌인지 알아요. 뭐 하나 비면 남은 거 다 하기 싫은 거요.
485,바다사자가 선창가에 앉아 있던 소녀의 옷을 잡아당겨 순식간에 바다로 끌어당겼어요. 다행히 옆에 있던 남성 분이 바다로 뛰어들어 신속하게 대처하셨네요. 전문가들 의견에 따르면 야생동물에게 먹이를 주는 등 그 어떤 방심도 하면 안 된다고 하네요.,그나저나 저 소녀의 보호자는 구해주신 남성 분한테 제대로 인사도 안하고 그냥 가는 것 같아 보이네요.
486,스킨로션 새로 사기 귀찮아서 수분크림만 바르고 지냈는데 이제 슬슬 사야겠어요. 뭐 사는 게 좋을지 추천받을게요.,그냥 근처 로드 숍 가서 대충 추천해달라고 할까요? 
487,스킨로션 새로 사기 귀찮아서 수분크림만 바르고 지냈는데 이제 슬슬 사야겠어요. 뭐 사는 게 좋을지 추천받아봐요.,"음, 네이처 어때요? 이니스프리도 괜찮고요. "
488,급하게 인도네시아 가게 되어서 이것저것 찾아보는 데 이 나라는 발리 말고 자료가 없어요.,여행 왕 팉님! 저도 팉님따라 여행계 만들어야겠어요.
489,날씨 너무 좋고 너무 놀러 가고 싶은데 걷기 귀찮아서 패스할래요. ,더워요. 나오면 죽어요. 
490,"예전에 친구랑 볼링 치러 갔는데 내가 너무 못해서 친구가 창피해했어요. 볼링공 뒤로 날리고 그냥 들고 있다가 볼링공 떨어뜨려서 주우러 가고, 볼링공 굴리는데 자세가 로봇같이 나와서 친구가 나랑 다시는 볼링 안 친다고 했어요. 그래서 그 뒤로 못 쳤네요.",왜 그랬어요! 나중에 나랑 가요. 나도 엄청 못 쳐요.
491,의사 선생님들이 왜 이리 우울해 보이냐고 물으시는데 환자 예약 잡고서 그런 말이 나오냐고요. 티켓팅 있다고 말했는데 말하자마자 예약 잡았으면서요.,나쁜 사람이네요. 부채질하는 걸까요? 안 그래도 우울한데 발단자가 어이없네요.
492,"아, 근데 티켓팅 경쟁 그렇게 심하진 않을 거라고 생각해요.",정 걱정되면 아이돌 팬인 친구를 부르시면 좋아요. 예약 전문인이시거든요.
