,Q,A
276,그나마 나은 거 생각해보면 가격도 세고 짜증 나요. ,옷감도 별로 안 드는데 진짜 비싸죠. 
277,뚫는 곳 있어요! 서면이랑 경성대 쪽에요! 김해는 좀 비싸요.,팔긴 하는데 파는 것들은 좀 별로인 것 같아요.
278,성균관대역에서 출발해요.,그럼 서울이잖아요.
279,최저시급도 안된다고요? ,모집할 때는 최저시급으로 준다고 하는데 막상 가보면 수습기간이라던가 그런 거 따지면서 오천 원 주는 것도 감사하게 여기라는 투로 말하는 분도 본 적 있어요. 유명한 체인이라던가 좀 가게가 큰 곳으로 가면 최저 딱 맞춰서 주는데 아닌 곳도 좀 있어요.
280,이게 바로 진짜 팝콘이죠. ,코인 노래방 갔다 오고 할 게 없어서 가게 왔다가 가족끼리 밥 먹으러 왔어요.
281,동대구 근처에 찜질방이 있나요? ,있긴 있어요. 도보로 10분 정도 거리에요. 
282,"그래도 1월, 2월은 나을 거예요!",설마 그전엔 한번 가겠죠? 안 되면 치자피즈님 동네로 제가 갈게요.
283,"삼겹살은 아니었던 거 같아요. 소고기였어요,",엄청 큰 이 층짜리 고깃집 돈존 밖에 없는거 같아서요.
284,공연기다리기 왜 볼드체로 보이죠? 안마 카페 갈 만한 가요? 친구가 같이 가자고 그래서요.,저는 아직 가본 적은 없어요. 저번에 갈까하다가 왠지 혼자 가기 눈치 보여서 안 갔어요. 그냥 제 위시리스트 중 하나에요. 위메프 같은 곳 가면 대학로 안마카페 싸게  파는 곳 많아요. 거의 반값이니 그런데 잘 찾아보시면 싼 가격에 한두시간 편하게 있기 좋아요.
285,네.,근데 비싼 이유가 뭐예요? 사실 어떻게 생긴 지도 하나도 모르네요.
286,"아주 약간의 식물성 신맛, 크리미한 식감과 감칠맛 정도겠네요.",신맛이 날 거라곤 상상도 못했어요. 언제 한 번 사서 먹어봐야겠네요.
287,스노윙 치즈 맛이랑 양념 반반이요.,배우신 분이네요 역시. 사진 꼭 찍어서 올려 주실 거죠?
288,남부권에 없다는 것도 슬픈데 서울 차비까지 생각하려니 눈물이 나네요.,게다가 너무 비싸요.
289,혹시 내일 학교 가요?,네. 내일 학교 가요.
290,가격 빼주긴 했는데 찜찜하네요.,그렇죠. 먹고 있는데 나오면요.
291,고속버스 탈 때는 박스로 싸거나 땅에 닿는 부위에 양말 씌우는 방법이 있어요.,"사실, 같이 타는 사람들이 직장인들이라 날 잡는 게 제일 걱정이에요."
292,유자님도 무한리필 집에서 탈탈 털고 오는 타입이시군요! 리필 집은 그 점이 매력이라고 생각해요.,모든 고기를 박살내버려요.
293,에세이가 많아서 쓰기가 너무 귀찮아요. ,에세이 너무 싫어요.
294,네일 한 번도 안 해봐서 걱정이 커요. 네일 해서 관리 열심히 하는 친구 옆에 있긴 하지만요.,네일숍가면 모양이랑 색상 선택하면 손톱 연장이랑 옆에 큐티클 제까지 깔끔하게 해주셔요.
295,어우. 그건 너무 끔찍해요.,내 현실이에요. 
296,"오, 감사해요. 사실 시간도 되니 학원 다녀볼까 했는데 너무 비싸더라고요. 그냥 그 가격에 좀 모아서 새로 컴퓨터 하나 장만하고 손으로 많이 좀 그려보려고요.",새 컴퓨터 사시는군요! 견적 어떻게 해야할 지 잘 모르겠으면 다나와 가서 대충 보셔도 좋을 거예요. 파이팅이에요.
297,이상하게 배는 안 고픈데 새벽동안 죽을까 봐 뭐라도 사와야하나 하고 있어요. 과일가게 문 열었으면 그거라도 먹어야겠어요.,네네. 그래요. 까치님 공복 너무 유지하시면 속도 상해버리니까요.
298,맛있겠죠? 살짝 느끼한 거 빼면 되게 맛있었어요.,저거 느끼해요? 느끼해 보이지가 않는걸요?
299,야자에 학원이라뇨. 진짜 바쁘게 사시네요. 전 야자만 하고 와도 죽을 것 같았는데요. ,집 오면 피곤하지만 그래도 이제 적응돼서 괜찮아요. 주말에 쉬면 되고요. 
300,"오, 기억 안 나요. CGV 근처였는데요. ",기억 하세요!
301,고대 미의 기준은 허벅지와 엉덩이가 큰 사람이었죠. 발을 억지로 묶으면 혈액순환이 안 되기 때문에 하반신이 비대해지고 그들이 원하는 체형이 된다고 생각했기 때문이에요.,저는 그 전족하면 걸을 때 엉덩이 흔들려서 그것도 있다고 들었던 거 같아요. 맞는지 아닌진 모르겠지만 아무튼 무섭네요. 
302,진짜 너무 적절하네요. 방학 중에는 가고 싶은 마음이 들기도 하는데 정작 가게 되면 너무 싫어요. ,근데 회사 다니고 보니까 회사도 똑같아요.
303,그러니까요. 친절한 걸 바라는 것도 아니고 예의를 지키는 게 당연한 건데 그걸 모르는 사람들이 너무 많은 거 같아요.,맞아요. 그냥 필요하면 주세요라고 말하면 되는데 왜 굳이 따지는 걸까요. 진짜 인생 피곤하게 사는 사람 많고요. 진짜 편의점뿐만 아니라 모든 매장이나 가게 등 거기서 일하는 직원들이나 아르바이트 생들을 무시하는 사람 너무 많아서 열받아요.
304,아하!,만약 미러리스라면 소니를 추천하고 Dslr에서 색감을 추구한다면 캐논을 추천해요.
305,나중에 같이 맛있는 거 먹으러 가요! 계산은 히카님이 하시나요? ,아니! 저기 어디인 거죠? 거리를 보고 제가 지갑을 열 수 있을 거예요. 못 열면 거기서 설거지하고 올게요. 
306,18000원요! 근데 나 파일 너무 맘에 들어서 20000원 썼어요. 추가로 입장료는 11000원이에요. ,진짜요?
307,맞아요. 게다가 도료도 사야 하고 마스크랑 도색 집게랑 서페이서도 있어요.,기본으로 시너가 들어간다는 점에서 한 번 더 경악했어요.
308,믕찌님 고마워요. 사진 예쁘면 트위터에 올릴 수도 있어요. ,오오. 사진 올라오길 기대할께요.
309,돈벌레는 아닌 거 같아요. 맞아요. 다리 많은 벌레 정말 싫어요. ,그거 있는데 나와서 잡는 거 볼 때까지 못 자는데요. 
310,말도 마세요. 저는 밤에도 쪄 죽겠어요. 누나 상당히 추워요? 내 옷이라도 벗어 줄까요? ,더위를 그리 타서 어떡해요? 에어컨이라도 틀어 달라고 해 볼까요? 
311,그것도 가격이 떨어졌어요? 아니면 그 거치형식이 아닌가요? ,삼성에서 싸게 한 번 풀어서 중고나라 같은 데 가면 미개봉도 한 2.5만 원대로 그냥 구입 가능해요. 스탠드 형식도요.
312,꼼꼼하신 완벽주의자인데다 거물이셔서 배우들도 딴지를 못 거네요. 이렇게 오래 찍는 드라마 처음 봐요. 심지어 작년에 크랭크인 늦춰진 것도 세트랑 각본 같은 기초공사 때문이었다던데 꼭 좋은 결실을 봐요.,예전 영화 촬영 감독 시절에도 워낙 꼼꼼하기로 유명했다고 하더라고요. 덕분에 좋은 작품 나올 거 같아요. 
313,마음 같아선 전학 가고 싶은데 불가능하네요.,맞아요. 같은 서울인데 멀고 머네요.
314,일단 들을 수 있고 통화되면 다 괜찮아요. 저 진짜 가방 무거운데 손으로 폰 들고 통화 받다가 너무 죽고 싶었어요. 사려고 가게 들어갔는데 본가에 있는 이어폰과 지갑 사정을 생각하고 도로 나와 버렸어요.,제가 집에 가서 통화 되는 이어폰 찾아볼게요. 한 쪽만 들리는 거라 통화가 되는지는 몰라서요. 찾아 보고 되겠다 싶으면 연락드릴게요! 마음 같아선 그냥  한 개 사 드려야 하는 건데요.
315,올라오는 댓글 보면 야외 수영장인 것 같다던데 진짜 연못 되겠는데요? ,그래서 위생이나 관리 문제로 지금 좀 떠들썩하더군요. 일단 아무도 학생들이 쓸 거라고 믿지 않는 게 함정이에요.
316,"도룡님은 부어 먹으시나요, 찍어 드시나요?",저는 찍어 먹어요. 
317,상관없어요! 아무거나 다 추천받아요. 지금 갈 데 없어서 유목민 됐어요.,"가격이 좀 있긴 한데 홍대 라이언스덴도 괜찮고요, 좀 더 저렴한 곳은 비앤비가 있어요. 둘 다 칵테일바에요."
318,이거 그건가요? 저 지인분이 대만 갔다 오면서 저 사다 줬는데 진짜 고기 들어있는 거 보고 깜짝 놀랐어요. 향신료가 진하긴 한데 면도 맛있고 맛있었어요. ,맞아요. 만한대찬! 저도 이거 계속 생각나더라고요.
319,지금 2학년 2학기까지 이수한 학점요.,잠깐이나마 1학기 32학점짜리 시간표를 떠올린 내가 잘못했어요. 
320,치즈 정말 좋아하죠. 나중에 가게 되면 꼭 먹어볼게요! 대추가 먼저 좋은 후기 남겨줬네요. ,응응! 요새 여기저기 체인점 많이 생겼으니 가보세요. 휴가 나온다더니 잘 즐기고 있군요! 
321,아뇨. 그건 아닌데 저희 가게 것도 아니고 저희 옆 가게 거를 부셨어요.,내일 옆 가게 사장님 화나실 거 같네요.
322,맞아요. 그럴 거 같아요. 사람 눈치 안 보고 여유롭게 식사하는 혼자가 되어봐야겠어요. 의식 안 하고 먹을 테니 정말 편하겠죠. ,저 배고플 때 식당 혼자 가요! 뷔페 같은 덴 아직 무리지만요. 
323,주사는 어디 가서 알아봐야 하나요? 사실 하고 싶어도 생각만 하고 알아보진 않아서요. 그리고 제 얼굴이 뼈 때문인지 근육 때문인지도 모르겠어요.,저는 피부과에서 했어요. 어머님이 간호조무사셔서 지인 찬스로 싸게 했지요. 상담은 의사선생님이 잘 해주실 거예요! 주사도 사실 간단한 시술이라 5분이면 끝나는 간단한 거고요.
324,화장실 한 세 번인가 네 번 가니까 이제 괜찮아진 거 같아요. ,세상에 진짜 뭐 잘못 드셨나 보네요.
325,6월 6일에 보러 가기로 했어요.,그것도 들었어요.
326,저 케밥 진짜 좋아해요. 제가 말한 곳 진짜 너무너무 맛있어요. 적당한 가격에 속 꽉꽉 채워주고 나중에 같이 가서 먹어요.,케밥 좋아요. 배고프네요.
327,마트에서 할인도 안 해주는 제일 비싼 가격의 바나나 드시는 동지 시네요. 덜 후숙된 그 쫀득한 상태가 바나나의 매력이라고 생각해요.,그 가격도 사이즈도 엄청나죠. 덜 익으면 조금 상쾌하고 적당한 단맛이지만 역시 일부러 사 먹을 정도는 아니지만요. 근데 묘하게 자꾸 여기저기서 바나나가 생기더라고요. 바나나를 끌어들이는 운명이라니 엄청나요.
328,저도 재미나게 봤어요. 다시 보려고 했는데 유료로 넘어갔더라고요. 그래도 그럴 가치가 있는 작품 같아요.,맞아요. 저는 웹툰 미리보기 결제해서 보는 편인데 하나는 가격도 100원이었던 게 기억나네요. 나중에서라도 올라서 다행이에요. 작가님 제 돈을 가져가세요! 
329,savinelli? 여기에요. ,사비넬리 브룸힐다 시리즈군요. 던힐과 어깨를 견줄 유럽 굴지의 파이프 생산업체니 적당한 가격대네요. 파이프란 건 대게 일정 부분까진 수제라 브랜드 장인별로 프리미엄이 많이 붙어서요.
330,피난은 한국 오는데 나는 중국가서요.,난 또 대만 가요.
331,뭔가 아기 때는 별생각 없었는데 클수록 찜질방 생각하면 불쾌한 생각이 더 큰 듯해요. 친구랑 가면 재밌었지만요.,맞아요. 근데 또 가끔은 가고 싶더라고요. 안 가지만요.
332,6월 2일날 입국해요.,와우! 왔다가 언제 다시 가요? 
333,와 부러워요. 내일 놀려면 빨리 자야죠. 재밌게 놀다 오세요. ,누구보다 신나게 놀다 올 거예요. 목요일에 학교 못 갈 느낌이에요. 
334,공지 뜨면 정해야죠. ,캐비닛 안에 나 넣어가요. 노예처럼 일할게요. 캐비닛이래 캐리어요.
335,밀웜이 최고군요.,네. 잘 때 밀웜만 들이대도 벌떡 일어나서 나오더라고요. 약간 햄스터 계의 치킨 이런 거 같아요.
336,유도제는 뭐죠? 자게 해주나? 마취 당하고 싶어요. ,수면제보다 약한 거 아닌가요? 그런 걸로 알아요. 잘 몰라서 확실하진 않지만요.
337,양 옆집에서 가구 정리한다고 바퀴가 우리 집으로 넘어와 가지고 손가락 두마디 크기 바퀴 새벽에 나와가지고 씻지도 못하고 5시까지 잠을 이루지 못했어요.,날아다니는 애들 빼고는 자신 있어요! 그냥 휴지로 꾹 하면 되는데요. 
338,항상 한인타운 가면 불닭 사 와요. 불닭 매워도 가끔씩 꼭 당기더라고요.,뿌잉님도 외국 삶 사시나요? 저 지금 불닭 한 개 남았어요.
339,우래옥 비냉 최고예요! 저는 신평화시장에서 매장으로 배달되는 비빔냉면을 제일 좋아해요. 아무나 못 시키고 몇 호로 배달해주세요하면 오는 거요.,여기 비빔냉면은 과일향 많이 나는 매운맛이라 다른 집이랑 달리 좀 특이해요. 평화시장 냉면 한번 먹어보고 싶네요! 
340,학원 가는 게 싫어요.,난 그 싫은 학원 이미 왔어요. 심지어 10분 전에 도착했어요.
341,맞아요. 저도 별생각 없었는데 선생님이 갑자기 배터리 빼고 가라는 거예요. 그래서 이상하다 했더니 밤새 윙윙대는거 눈치 못 채고 딱 실기장가서 전동 지우개 들었는데  배터리 다 달아있고요. 듣자마자 소름 돋아서 배터리 분리했어요.,실기장갔는데 배터리 없는 건 소름 끼치네요. 너무 무섭고. 저도 꼭 배터리 분리해서 다녀야 겠어요.
342,누나 너무 귀여운 것 같아요. 성장판 열일하게 해주는 약 없어요?,글쎄 있긴 할 걸요? 잘 모르겠어요.
343,앞에 차 하나 보냈는데 끼이는 건 마찬가지네요.,일 있어서 서울 가게 되면 항상 중간에 타는데 그나마 사람 없을 때조차도 짐 같은 거 가지고 있으면 2호선은 지옥이에요.
344,아파서요. 이제 곧 갈 거예요.,어머. 어떡해요. 괜찮아요? 
345,봄이 갑자기 끝나버렸어요.,한국이나 일본이나 갑자기 사라졌네요.
346,아까 한참 블랙잭하다가 수영장이라도 가야겠다 결심했던 거였는데요.,블랙잭 테이블로 돌아가세요.
347,너무 귀엽잖아요.,귀엽죠. 막 장난감 가게서 구경하고요.
348,극한 체험인가요?,진짜 그때는 어떻게든 빼려고 발악하던 때라서요. 마르신 밤님이 이렇게 하신다면 쓰러지세요. 저야 많이 해보긴 했는데 진짜 힘들긴 했어요. 먹는 거 좋아하면 먹지 못하는 게 스트레스고 근데 살은 빼야겠고요.
349,그렇죠. 내가 저번 달에도 아파서 몇 번 조퇴하고 그런 적도 있었어요. 아니 그래도 내가 몸 관리 잘해도 아플 수 있는 거고 나 다니기 전엔 자기들끼리 했으면서 왜 난리에요. 진짜 눈치 보여요. 내일 출근도 싫네요.,진짜 그렇겠어요. 그냥 이제부터 몸 관리 잘 하고 내일부터 또 열심히 일해요 이런 식으로만 문자 보내줬어도 감사할 텐데요.
350,아르바이트하면서 음악 방송은 아르바이트하는 곳에서 보면서 살고 있어요. 뭐 시간대 맞게 보는 게 음악 중심이랑 인기가요뿐이지만요.,오! 아르바이트하는 곳에서 음악 방송을요? 왜 저희 매장은 텔레비전이 없을까요. 너무나 귀여우시네요.
351,저 그럴 때마다 휴게실로 도망쳐요.,대피까지 해아할 정도인 거예요?  우리도 뭐 먹을 때 쩝쩝거리는 사람 있어서 너무 피곤해요.
352,예쁜 사람 기억에 남아 보고 싶어서요. 아는 척해 보고 안녕? 인사도 해보고요. ,초면에 많이 당돌하시네요. 아무한테나 이래요? 
353,혹시 대구분이세요?,예. 대구 사는 부산 사람요.
354,그냥저냥 먹을만해요.,나도 타르트요.
355,그러진 않는데 그냥 계속 제가 뭐도 있고 뭐도 있고해서 힘들 것 같다 하면 이거 그렇게 오래 걸리는 거 아니고 아니고 아니고 이런 식으로 치부해버려요. 그런 일들이 모여서 몇 시간이 되는 건데요. ,맞아요. 몰라서 더 그래요. 알면 그렇게 말 못해요. 유신님 월요일부터 파이팅 하세요.
356,버티는 중이니까 넘길게요.,존경스러운 인내심이네요. 차에서 음악이라도 들으시면 좀 빨리 가지 않을까요? 
357,응! 오사카 왔어요! ,"와, 오사카성 이쁘겠어요."
358,그런 걸까요? 평화가 서서히 와도 되는데 갑자기 와 가지고 급히 다시 나간 적이 너무 많아요.,뭔가 그 공기가 코카게님과 어울리는 건지요. 변비 걱정 없으시겠어요.
359,깔끔한 여름을 위해서죠.,전신 싹 하시는 건가요?
360,멋있네요.,기사 읽어봐요. 진짜 가끔은 영화보다 현실이 더 드라마틱하고 멋있는 거 같아요. 
361,아직까지 한 번도 안 빠지셨다면 한 번 정도는 좋을 것 같아요.,진짜 어제 새벽부터 너무 가기 싫었어요. 토할 것 같아요.
362,가게가 없어요.,후보군은 뭔가요?
363,이케부쿠로도 아키바도 다 다녀오긴했는데 2차로 다시 도는거거든요. 지금 가서 6시까지 둘 다 갔다올 수 있을까요.,지금 계신 곳에서 제일 가까운 곳으로 가보시는 건 어때요? 저는 아키바로 한 표를 드릴게요.
364,네.,힘내요.
365,곤약 젤리는 굳이 가지 않아도 가게에 잔뜩쟁여뒀어요. ,그래요? 조만간 구매하러 가겠어요.
366,사실 반도 못먹었어요. 그리고 내가 굶는 게 아니라 니가 밥 먹어야죠. ,그러게요. 나 점심 못 먹었어요.
367,사실 테라님 저격이었는데 역시 가보셨군요!,쟈니로켓에서 쟈니 버거를 먹었죠. 호란님 맛있게 먹었어요?
368,고수 닭갈비 바로 옆 식당이에요.,저번에 먹은데 옆인가요? 
369,드디어 로딩 됐네요. 저 원래 LG 썼었는데 SK로 갈아탔어요! ,그렇군요. 아쉽네요. 전 LG인데 데이터가 항상 남아서 드리고 싶었는데요.
370,맛있어요! 가게에서 파는 맛이에요.,좋겠네요. 치즈 케이크 맛있겠어요. 먹고 싶네요. 생일 기념으로 만들어 준 건가요? 
371,충무로 반반 국수요.,맛있나요?
372,그건 제게는 장점이에요. 귀엽잖아요.,응. 근데 존잘님 머그컵을 밀어서 깨트리면 어떡해요.
373,떴어요!,오오. 저도 가야겠네요. 블랙아웃은 안 나왔죠? 
374,얼마에요? ,만 오천 원요. 싸죠? 
375,좋았어요. 나 8일 날 기말 마감이니까 그때까지 밤새우면 아침 먹으러 갈게요.,아침 먹으러요? 가게에 뭐 파는 지도 몰라서 뭐가 맛있다고 얘기도 못 해주겠네요. 근데 거기는 중간 끝난지 얼마나 됐다고 벌써 기말이에요?
376,꿈틀 너무 귀여워요. 누나가 무슨 맛 마카롱 폐기 많이 남겨줄까요?,아아.
377,꿈의 직장이네요. 노조도 여성노조고요. ,그렇죠. 저 회사 보니까 전자과 가길 잘했다는 생각이 들어요.
378,그렇죠! 여기 접시도 다 예뻐요. 가격대는 조금 비싸지만 그래도 기분은 좋았어요. ,매일은 무리지만 가끔은 비싸더라도 예쁜 곳에서 맛있는 디저트 먹는 거 너무 행복할 것 같아요.
379,일하다가 뽑히는 게 더 웃겨요. 무슨 입안에 펜치 넣고 하냐고요. 아니 어금니를 그리고 왜 들고 가요? 모든 경우가 너무 이상해요.,나는 뭔 생각이 드냐면요. 저 사람이 사기 치는 거 아닌가라는 생각이 들어요.    
380,진짜로요. 저만 이런 거 아니었군요! 게다가 오늘은 날도 되게 덥다고 하던데요? 너무 살인적이에요.,"날이 진짜 죽음이에요. 덥고 바람이 부는데 바람이 숨을 막히게 하는 바람이에요. 아, 진짜 최악이죠."
381,제 생각엔 우선 아이를 진정시키는 게 우선이라고 생각하셔서 그런 것 같아요! 뭍으로 가서 인사했을 수도 있고 말이죠.,그야말로 정신없었을 것 같아요.
382,전 거기 갔어요. 스킨푸드! 비싸지만 효과 괜찮은 거 샀었는데 근데 이거 다 쓰시는 분들 신기해요.,아까 네이처를 다녀와서 나중에 다 쓰면 스킨푸드 가볼게요!
383,여행 왕은 뭐예요. 이쥬님 여행계 만들면 일등으로 가입해야겠어요.,드디어 내일 출국해요! 짐 쌌는데 모두의 조언을 무시하고 캐리어 꽉꽉 채워가는 중이에요. 잘 다녀올 수 있겠죠?
384,지금 아빠 가게서 심부름 잠깐 나왔는데 너무 더워요.,그렇죠? 저 잠깐 나갔다가 햇볕 귀싸대기 맞고 다시 들어왔어요.
385,나 자살하러 갈 듯 해요.,진짜 어이없네요.! 우리 취소표 잡아 봐요. 프리미엄 있다니까 풀릴 거예요!
386,예약 전문인이요? 근데 경쟁이 그렇게 심하지 않을 거 같아서 그렇게까지 긴장할 필요는 없지 않을까 싶어요. 괜히 겁먹게 되네요. ,저 재작년에 마룬 콘서트 티케팅 하던 악몽이 생각나네요. 확실히 경쟁은 엄청 힘들다 정도는 아니어도 좀 있지 않을까요?
387,뮤지컬 왜 이렇게 비싸요? 영화 열 번 보는 가격이잖아요. 뮤지컬 좋긴 한데요. 그런 의미로 혁 오빠 영화 언제 찍죠? 내가 열 번 볼게요.,나는 돈 없으니까 한 다섯 번만 볼게요. 미리 알려주기만 해요. 돈 좀 모아두게요.
388,저는 입맛 자체가 엄청 육식인데도 불구하고 맛있어요! 깔끔한 맛이라서 좋아요. ,혹시 가게 이름을 알 수 있을까요? 정말 가보고 싶은걸요! 
389,내려도 너네 카페 가서 내릴 건데요.,바지도 내리고 가게 셔터도 내리겠네요.
390,며칠 있다 가려고 했다가 오늘 가려고 대충 짐 챙겨서 나왔어요. 매번 이렇게 기다리지 못하고 뛰쳐가듯이 가게 되네요. ,너무 좋아요! 맛있는 것 많이 드시고 오세요.
391,나 서점요! ,서점 바쁘지 않아요?
392,일부러 맛있는 거 골랐어요. 한국 가고 싶어요.,얼른 한국 오세요.
393,오시죠. 집에 막창도 있고 복분자주도 있어요.,집에 막창이 있어요?
394,"와, 어향가지 당기네요. 모가홍소육은 뭐예요? 나머진 다 좋아하는 건데요.",캐러멜화된 설탕과 간장으로 조려서 갈색빛이 도는 돼지고기 삼겹 찜이에요. 모가 홍소육인 이유는 모가 모택동을 뜻해요. 모택동이 가장 좋아해서 경사가 생기면 홍소육을 내오라 했다고 해요. 
395,이치란이에요!,한국 아니죠?
396,감사해요! 국가 장학금 신청 완료했고 서류 제출만 하면 돼요. 독촉님 항상 감사해요.,파랑새가 알림을 씹어먹어서 늦게 말씀드려서 정말 죄송했어요. 서류 제출도 파이팅이에요! 
397,저 얄로님이랑 같이 가게 될 것 같아요. 얄루님이 티켓팅 못 하셔서요. ,그렇군요! 얄로님 부러워요!
398,이 시기에도 갈 데도 있고 갈 능력도 있나 보네요. ,저 같은 무능력자는 어떻게든 남아있어야 돼요.
399,그래도 다래끼여서 다행이에요. 다래끼 약만 잘 넣고 손 안 대면 빨리 나으니까요. 빨리 나았으면 좋겠어요!,손도 안 대야 하는군요. 집 가는 길에 손 소독제도 사 가려고요. 고마워요. 어제 아프기 시작했는데 하루 만에 와서 금방 나을 거예요! 감사해요.
400,지옥의 토마토 수프 색 신기하네요. 매운 데 속이 안 아픈 매움 같은 건가요? 도깨님 얘기 들으니까 더 먹어보고 싶어졌어요. 설명해주셔서 감사해요.,색이 너무 매워 보여서 가만히 있었더니 직원분이 위를 보호하는 한약재가 들어있어서 속 편하게 드실 수 있다고 그러더라고요. 코기님도 어서 훠궈의 세계로 오셨으면 좋겠어요.
401,6월 25일인데 혹시 오실 수 있으신가요?,모르겠어요. 그때가 되어봐야 알 거 같아요. 혹시나 가게 되면 말씀드릴게요!
402,언제 갈래요?,토요일 날 어때요? 아니면 그 전도 나쁘지 않아요.
403,제가 지금 한국이 아니라서요.,맞네요. 오느키님 홍콩이시던가요?
404,사실 주짓수랑 고민했는데 주짓수는 6개월 넘게 배워야 할 만하다 그래서 복싱하게요. ,나도 종합 격투기하면서 주짓수도 했었는데 확실히 그 정도 해야 어느 정도 실력이 잡히다 보니깐요. 아니면 킥복싱도 괜찮아요. 
405,학교생활이 그렇죠!,그러니 적당하게 알바를 하고 성적을 적당한 수준에서 지키면 되는 거죠. 혹은 미친 듯이 공부를 해서 장학금을 받고 장학금을 그대로 꿀꺽하던가요! 
406,저 진짜 너무 속상해서 당장 내일 서울 가면 머리 다시 자를까 고민돼요. 세상에 이게 뭘까요. 너무 짧게 잘라서 손도 못 댈 것 같아요.,어떡해요. 이래서 미용실은 가던 곳만 가게 된다니까요.
407,당고도 좋아해요? 귀여워서 어떡하죠 진짜? 너무 입맛이 귀엽네요.,네. 당고 제일 좋아할걸요? 너무 귀엽죠? 사스케는 가다랑어 주먹밥이랑 토마토 좋아해요. 
408,저녁에 약속 있어서 참으려 했는데 도저히 못 참아서 삼각 김밥 하나 사 왔어요.,난 한상 크게 먹을 거예요.
409,어제부터 애용 중이에요. 다이소 수건 쓸만한가요? ,저는 사실 집에서 가져온 수건으로 쓰고 그랬어요. 이불 파는 곳에도 수건 팔던가요? 이불 가게는 몇 개 알아요. 아니면 다이소에서 급한 대로 두세 개 정도 사고 인터넷으로 사세요.
410,맞아요. 저기요 가 더 나아요. 아까도 다른 과 갈 일 있어서 가는데 뒤에서 아가씨 아가씨 소리 지르시길래 나 아닌가 보다 하고 가니까 말 무시한다고 엄청 소리 지르시고 있더라고요. 정말 싫어요.,어디 술집 오셨을까요? 웬 아가씨죠? 
411,맛있겠죠!,급식보다 빵이 더 좋을지도 몰라요.
412,"애뷔꼬라는 음식점인데 파스타 7천 원, 크로켓 3천 원, 음료수 1500원이에요. 너무 좋고 맛있어요.",좋았어요. 다음에 가 볼래요. 좋겠어요. 그래도 저 지금 굉장히 맛있는 거 먹고 와서 별로 안 부러워요.
413,미치겠네요. 인터넷 엄청나게 끊겨요.,맞아요. 나도 폰은 그나마 좀 덜한데 노트북으로 하려고 하면 미쳐요. 게임은 진짜 못할 것 같아요. 여기 사람들은 어떻게 게임하고 살죠? 게임 북미 서버 살아있는 거 맞나 궁금하네요. 
414,"아, 주말에 올라와요? ",네. 올라가게 됐어요.
415,감사해요. 일단 가봐야겠어요.,가격은 싸게 구하시려면 가격비교 보고 판매처 찾는 게 제일 좋죠.
416,"토요일 240원, 일요일 260원, 오늘 320원이래요.",미쳤네요.
417,저 노란색은 안 어울려서 만약 정말 한다면 파란 계열로 하고 싶어요.,파란색! 신비로운 게 완전 이쁠 것 같아요. 옴브레로 하면 진짜 최고일 것 같아요.
418,부러워요.,오늘 일도 4시간 했는데 4만 원 받았어요. 거기 너무 좋아요. 주 5 일로 알바 계속 할 수 있을 거 같아요. 
419,이곳은 오전 1시 45분이에요.,"오, 그곳의 오전1시45분 어떤 기분인가요! "
420,네! 부산에 살아요! ,부산 좋죠. 저 재작년까지만 해도 부산에 살았는데 다시 가고 싶어요.
421,결국 혼자 밥 먹으러 가는데요.,님 아까 리트윗하신 가게 가실래요?
422,락님 상거진데 괜찮아요? ,뭐 언제는 거지 아니였나요?
423,생리대 가격이 비싸서 정부에서 무상 지급해줘야 한다는 글도 본 적이 있어서 50원이니 어쩌니 하는 사람들은 그냥 무지하다고 밖엔 안 보이네요. 외국에선 지원을 해준다고 들었는데 우리나라도 얼른 그런 선진 제도가 들어섰으면 좋겠네요.,"무상 지급 바라지도 않아요. 제발 가격만, 품질은 안 좋으면서 너무 비싸고, 그거 아세요? 생리대보다 기저귀가 더 꿀이란 정보도 있어요. 오히려 생리대보다 더 좋대요. 생리대는 화학성분이 많지만 기저귀는 아니거든요."
424,저 2월에 갔을 때는 이케부 정가운데있는 호텔 갔었어요! 가격은 좀 있고 위치도 역이랑 조금 멀었는데 그 외에 아니메이트나 동인지 회관이랑 가까워서 저는 좋았어요.,찾아봐야겠어요.
425,게맛살 맛이 너무 튀어서 조화롭지가 못 해요. 그냥 게맛살 맛이에요.,"세상에, 뭔가 좀 부드럽고 달콤한 맛 일 줄 알았는데 너무 따로 노나봐요. 담백한 페퍼로니 피자 먹고 싶어요."
426,"음, 그렇게 느낀 적은 없는데 왠지 그렇게 말하니 사진 배경으로 쓰이는 스튜디오 같기도 하네요. 방이 휑해서요.",벽지도 하얗고 전에 사진 보니까 방도 되게 심플하던게 되게 좋은 것 같아요!
427,저랑 내년에 휴학해요.,안 돼요. 저는 내후년에 해야해요.
428,예쁘죠? 저거 꽃 색다른 잔도 있는데 전 이쪽이 취향이더라고요.,너무 이쁜데 가격이 얼만가가 문제죠.
429,만 팔천 원만 받으셔도 괜찮으시겠어요? 책 상태 좋아보이는데요.,새 거라 봐도 무방할 정도에요. 나눔 하려던 책이었으니까 괜찮아요.
430,생존을 위한 것으로 맛은 제 입에만 맛있는 거예요.,비주얼은 가게에서 파는 거라고 해도 믿겠던데요! 
431,퇴근하고 가면 안 계시잖아요.,그러네요.
