,Q,A
162,저 갈지도 모르겠어요. 수요일에 가게 되면 알려줄게요.,알겠어요. 아 돈 털 일이 왜 이렇게 많은거죠. 핫트랙스가서 앨범 dope버전도 사야되는데요. 하 이번 앨범에서만 최소 10만원은 털리네요. 10만원이 뭐야 20만원은 털릴 듯 해요.
163,저 지금 침대에 꼼짝 안 하고 누워있어요. 최대한 체력 되돌려서 주말 콘서트 힘내는 거 목표로요. 헤헤 트님 시간 맞으면 꼭 만나기예요.,좋아요! 오늘은 옆에 고양이 두고 보면서 체력 회복하세요. 맛있는 거 드시고 부디 기력 차리셨으면 해요. 헤헤 절 볼 때는 우리 신나게 애들 이야기하면서 못 다 한 이야기도 실컷 해요.
164,"아, 저 지금 사러는 못 가고 하면 대리구매 맡겨야 되는데 저는 팬 사인회 당일이 문제여서요.",아! 그럼 좀 곤란할 수 있겠네요. 집이랑 얼마 정도 걸리세요? 
165,난 징어구이가 아니라 우나기동이 먹고 싶어요! 한국 너무 더워요.,나 너무 오랫동안 못 먹어서 그 차이를 잊은 것 같아요. 장난이 아니라 진짜로요. 슬프죠. 나도 자고 일어났더니 등에 땀이 강이더군요. 
166,하긴 그렇겠네요. 먹은 지 좀 돼서 막 정확한 건 아니지만 또 먹고 싶었어요.,뀨르미는 탄산이랑 타코 좋아하죠. 다음엔 나도 가봐야겠어요. 좋아하니까 가도 되지 않을까요? 
167,도미노 피자를 먹어야겠네요.   ,네.
168,제가 35사단 직할대 포병대대 출신인데 전주에서 임실로 부대 이전도 직접 경험했었거든요. 2014년에 전역했었는데 그땐 임실에 진짜 아무것도 없었어요. 지금은 어떤지는 모르겠는지만요.,훈련소를 35사단으로 가는 거라 어찌 될지 모르겠는데 사실 이미 임실부터가 집이랑 멀어요. 
169,눈썹이 자꾸 눈 찔러서 시력 나빠지고 그러는 거 고치면서 쌍꺼풀 했어요.,그건 어쩔 수 없네요.
170,그니까요. 온갖 같잖은 유행 음식 다 오면서 왜 평양냉면만 없을까요? 어서 집을 나서서 가세요. 저 대신 많이 드세요.,그러게요. 별 육지 음식 다 들여놓고 어째 평양냉면만 없죠? 심기일전하여 집을 나서도록 하겠습니다. 하지만 침대도 좋아요.
171,삼백 이론이랑 오늘은 자체 휴강도 재밌어요! ,아! 자체 휴강 본 거 같아요. 
172,"아, 아뇨! 서울 디저트 페어 갔다 왔어요. 입장권 이벤트 당첨돼서요. 다 너무너무 맛있네요.",그렇군요. 맛있겠어요. 오른쪽은 설마 민트 초코 마카롱 같은 건가요? 
173,가게에 따라 다른데 오늘은 당기네요!,안 그래도 없으면 떡볶이 먹으러 갈까 생각하고 있었는데 잘 됐네요.
174,저번에 거기 폰가게 스티치요? ,그건 공기에 너무 많이 노출됐어요. 차라리 인터넷으로 살래요. 스티치 모을 거예요
175,휴이온 좋나요? 가오몬이 휴이온 제품 따라 해서 파는 거라던데 약간 뽑기 운은 있을 거 같아요. 그래도 기대하고 있어요.,기대 이상으로 좋았어요! 앞으로도 저는 태블릿은 중국 제품 쓸 것 같아요! 싸고 와콤 사는 가격에 몇 개를 살수 있어요. 태블릿으로 좋은 연성 잘 부탁드려요.
176,그럼 우리 지점 실장님이랑 사귀세요. 빵은 주겠죠.,실장님이라면 빵 말고 가게 줬으면 좋겠어요.
177,벤디시 벌써 날 잊은 거예요?  ,벨님 이거 왜 저장했어요? 지워요. 
178,내일 아닐까요? 모르겠어요 아직. 기간이 딱 정해져 있는 게 아니라서요.,이런. 지금 당장 과자 100개 사서 병문안 가고 싶은데요.
179,이상한 사람 때문에 저까지 계산하는 데 피해를 봤네요. 점원 분 저를 보는 시선이 저도 그럴 거라 생각했나 봐요. ,진짜 다른 사람 피해주는 걸 즐겨 하는 무개념이 하필. 더한 난리를 피우지 않은 걸 다행이라고 해도 되려나요. 토마님은 전혀 그런 분 아니신 것 같은데 그 일본 점원 분의 한국에 대한 인식이 안 좋아졌을까 봐 마음 아프네요. 
180,다음에 다시 한 번 올라오시면 그땐 홍대에서 놀아요! ,저 원래 홍대에 자주 가요! 잘 됐어요. 
181,저도 보고 싶은데 그날 친척 집 갈지도 모른대요.,"아 세상에나. 스칸님 꼭 보시길 바라고,  혹시 가게 된다면 하현우 씨한테 제 얘기 좀 그게 아니고 다녀오신 후에 얘기 좀 해주세요."
182,응! 그 밴드는 아니고 뭐라 해야 하죠? 어쿠스틱 같은 거? ,아하! 목 관리 잘해요. 물 많이 마시고 무리하게 말하지 말고요.
183,나 요즘 미친 듯이 먹는데 그거 때문에 더 나빠지는 거 같아요. 다정이는 먹지 마요.,저도 그래서 더 안 좋아진 건가요? 이제 안 먹어도 될 핑계가 생겼네요. 엄마 언니가 호두 안 좋대요. 전 안 먹을 거예요. 
184,주위 사람들 다 치킨 먹는데 우리 테이블은 고기죠. 근데 다 알아서 먹고 있어요.,상황 왠지 웃길 것 같아요. 들어와서 치킨 시켰는데 어딘가에서 돼지 굽고 먹고 있고 저분들은 고기 굽는구나 하고 난 내 치킨 먹겠어하고요.
185,너무 좋아요. 언제 갈 수 있을까요?,제가 올라갈 수도 있죠! 그것도 하나의 방법이죠. 
186,우와! 너무 부러워요! 키리시마 포스터보다 하치님이랑 놀기 위해서 꼭꼭 가고 싶어요!,오세요! 오시면 재미있게 놀아드릴게요!
187,예! 나는 먹어 봤는데 기프티콘을 활용을 못해요. ,어째서요?
188,"음, 그래요? 좀 먹어볼까요? 가격은 얼마나 하죠?","좀 비싸요. 이것도 처방전 받으면 싸지긴 해요. 그냥 하면 2,3만 원 돈 하는데 그냥 싸고 양 많은 거 사시면 돼요."
189,주말인데 부르기도 영 그렇고 가게 손보는데 내가 비우기도 그러니까요. 말이라도 좋네요. 나 그렇게 말하면 진짜 간단 말이에요. ,진짜 오라고 한 말인데요? 언제든지요.
190,구림의 절정이에요. 언밸런스 이런 거 누가 유행시켰는진 몰라도 별로예요.,그 뭐죠? 소매 프릴도 이상해요.
191,"아니에요. 안 구려요. 이쁘다고요. 사선 피어스도 있어요, ",근데 되게 싸요.
192,아뇨. 수원 성대요. ,아! 근데 1시간이면 평범하네요. 
193,그런 가게가 금방 망하죠.,그렇죠. 아까 이야기한 오천 원의 그 집은 사람이 안 모이는지 상시 모집 걸어놨더라고요! 장사도 요즘 안되는 거 같던데요.
194,어쩐지 아무도 없더라고요.,나밖에 없었으니까요.
195,옹. 혹시 버스 놓치면 한 번 물어볼게요.,일단 알아볼게요.
196,올해 여름에 비행기를 예약했어야 했을까요. 언제든 한국으로 들리실 일 있으시면 그래도 저한테 연락해주세요.,진짜로 병원 순회를 위해서라도 한국 한 번 가야 할 테니 가게 되면 꼭 치자피즈님한테 데이트 신청할 거예요.
197,보일러도 있고 압력도 맞춰야 되고 그런 거랑 기계가 생각보다 복잡해서 기본 2천에서 5천은 하더라고요. 더 비싼 것도 많고요. ,아. 종합 머신이군요. 
198,인증 샷 올릴게요. ,참고로 제 오늘 저녁은 아구찜이에요.
199,그러니까요. 거기에 우린 차비도 생각해야 하니까요.,수중 스튜디오 좀 많이 있었으면 좋겠어요.
200,해결할 수 없는 문제네요.,날 정하는 게 제일 어려워요. 막상 가려면 어떻게든 갈 수 있을 텐데요.
201,모든 고기를 가게에서 없애버려요!,야호!
202,"반영이 너무 커요! 너무 귀찮아요. 에세이 두 개쓰고 토익 스피킹도 보고, 하지만 아무것도 시작하기 싫어요.",언제까진데요?
203,오랜만에 한국 콘서트 하니까 너무 설레서 해보고 싶은 거 있죠. 찾아봐야겠어요! 감사해요.,네일 예쁘게 하면 기분이 너무 좋죠. 저도 지금 너무 하고 싶은데 잔고가 없어요. 손톱 기르고 컬러폴리쉬만 바르고 가려고요.
204,달날 쓰레기처리를 잘하도록 해요. 일본은 바퀴벌레 많이 나와요? ,일본은 목조건물이 많아서 많이 나온대요. 게다가 섬이라 이 친구들 일본에서 나가지도 못하고요. 저번에 난리 피우면서 다 버리고 바퀴벌레 약 놓은 후로 한 번도 못 봤어요! 기뻐요!
205,아직 당장은 아니지만요. 동생과 함께 쓰다 보니 게임도 못 해서요. 모니터 견적이 너무 비싸더라고요. 감사해요.,생각해보니 저도 모니터는 첫 월급 타서 샀던 거 같네요. 아주 고급스러운 거 아니면 그냥 LG 모니터 정도로 양보했을 때 그렇게 심하게 비싸진 않을 거예요.
206,좋아요. 나가서 파는지 보고 올게요! 뭐라도 넣고 보겠어요.,네! 까치님 조심해서 다녀오세요!
207,응. 저래 봬도 참치 마요 들었어요.,맛있겠어요.
208,맞아요. 저도 통학에 기운 써서 주말만 기다려요. 목요일만 되면 전에 삐끗한 발목부터 아파요. 고질병이네요.,스톤 님 발목 괜찮아요? 어쩌다가 그러셨어요. 발목 보호대 같은 거 하셔야 하는 거 아니에요? 스톤 님 발목 무리 안 가게 조심해서 다니세요.
209,머노란 곳이네요.,키워드로 검색해 보니까 여기 나와서 혹시나 했네요. 고마워요. 기억해 둬야죠.
210,비슷한 이유에요. 그걸 찬양하는 시인들도 넘치고 넘쳤고 진짜 총총걸음 해야 했어요.,으! 징그러워요. 전족 발 너무 아파 보이고 불편해 보여요.
211,그렇군요. 아직 회사 다니게 되려면 한참 멀었지만 벌써부터 회사 다니기 싫어지네요.,근데 또 회사 다니면 월급이 있고 안 다니면 월급이 없고 하지만 입사하면 퇴사하고 싶고 출근하면 퇴근하고 싶고 마법이죠.
212,진짜 그렇게 내뱉고 나면 서로 기분 안 좋을 텐데 왜 그러는지 모르겠어요.,그니까요. 친절하게 말하면 상대 쪽에서도 친절하게 할 텐데요. 제가 편의점에서 일해서 저런 사람 너무 많이 만나는데 천연님이 이렇게 말해주시니 모든 고통이 내려가는 기분이에요.
213,전 색감 좋은 게 좋아요. 나중에 사야겠어요. ,캐논 것 추천 가능하지만 그건 네가 돈을 모아서 모은 돈 말해주면 뽑아줄게요.
214,컨트리 맨즈라고 체인점인데 이번에 생겨서 처음 가봤는데 가격이 후들후들해요. 대신 양이 1.5에서 2배 정도 되긴 하는데 차라리 가격 낮추고 양 좀 줄였으면 하는 정도에요. ,가격이 후들후들하다니 이거 제가 혼자 부담할 수 있을지 모르겠네요. 우루빵님 만나면 거하게 쏴야 하긴 하는데 긴장되네요. 그런 곳이 있죠. 바로 저기였군요. 하지만 맛있다면 좋아요. 
215,어차피 풍경 사진일 거예요.,그래도 이쁜 사진 올려주시면 기분이 좋아져요.
216,상상조차도 싫네요. 잠 못 자겠어요.,에프킬라 칙칙해봐요.
217,다들 춥다는데 어쩌겠어요. 괜찮아요. 감기 걸려서 골골대면 재이가 또 미안하잖아요.,난 괜찮은데요. 재이가 옷 벗어 줄 거잖아요. 
218,와! 바보 됐네요.,그래서 하나 사 뒀는데 사 놓고 안 쓰고 있어요. 
219,전 심지어 학교 가는데 대중교통을 버스 지하철 지하철 버스 이렇게 세 번 갈아타요.,왜 그렇게 멀어요?
220,아니에요. 보콘님이랑 만나서 한 끼 식사도 못했는데 그럴 순 없어요. 혹시라도 하나 찾으시면 시간 되실 때 중간 즈음에서 뵙고 맛있는 거라도 같이 드셔요.,제가 최대한 멀쩡한 걸로 모아서 보내겠어요! 그럼 종강 때까지 본가는 못 내려오시는 걸까요? 방학 때 시간 나면 한번 뵈어요 준휘 님. 이어폰 찾으면 문자로 연락드릴게요!
221,그니까 학업 신경 쓰느라 도서관도 잘 못 가게 되는 와중에 수영장씩이나 생기네요.,너무 맞는 소리라 할 말이 없군요. 와! 관상용 수영장이네요! 
222,"전 반은 부어 먹고, 반은 찍어 먹어요.",어느 중국집 가니까 아예 부어서 주더라고요. 처음엔 맛있었는데 지나면서 눅눅해지면 찍어 먹는 게 그리워져요.
223,비앤비 왔어요! 추천 감사드려요.,할아버지 바텐더 분이 정말 좋으세요. 마음에 드셨길 바라요! 
224,저도 얘기하니까 또 먹고 싶어지네요. 포도 맥주도 정말 궁금하네요. 당기네요.,포도 맥주는 이번에 캐리어에 왕창 실어올까 생각 중이에요. 정말 너무 너무 맛있었어서요.
225,네! 대추도 나중에 또 가서 맛있게 먹고 와요.,응! 시간 날 때 또 먹으러 가야겠어요. 고마워요. 
226,밥 안 먹고 기름진 것만 골라서 먹어서 그런 거 같아요. 토요일엔 술 먹고요. 밥을 꼭꼭 먹겠어요.,네. 꼭 그래요. 약은 드셨나요?
227,같이 안 보실 거예요? ,아니요?
228,나무에 금칠이라도 해둔 건가요.,"샤넬, 구찌 같은 거라고 보시면 돼요."
229,들었어요. 내가 잠깐 한국 들어오는 기간에 오더라고요.,이런 게 어딨어요? 
230,안 가요. 그냥 돈 아까워서 한국에서 검정고시 보고 대학 준비할 거예요.   ,진짜요? 그럼 계속 한국에 있는 거군요. 마야 볼 수도 있겠네요! 
231,목요일에 많이 힘들겠어요. 그래도 재밌게 놀다오세요. ,알겠어요. 감사해요. 수요일 수학여행 미리 잘 다녀오세요.
232,목마 태워줘요.,좀 무겁긴 할 것 같은데 괜찮을까요?
233,그것도 삼일 정도 구석에서 아무것도 못 먹었을 테니까요. 햄스터도 참 대단하네요.,그러니까요. 귀여워서 책상 부시고 싶어요.는 무슨 탈출한 것만 생각하면 아직도 혈압이 올라요. 저러고 두 번을 더 탈주했어요.
234,약물의존도가 높다고 하네요. 그냥 병원 가서 물어봐야겠어요.,그건 좀 많이 장기 복용 했을 때의 얘기 아니에요? 근데 그냥 수면제 처방해줘요? 
235,네. 저 일본이에요. 저는 두 개 남았어요. 6월에 한인타운 갈 일 생기는 데 그때까지  아껴 먹어야겠어요.,전 한국 마트 좀 멀어서 언제 가게 될지 아직 모르겠어요. 얼른 사 오고 싶네요.
236,님 왜 이렇게 부지런해요? 지금이 몇 신데요? ,나 맨날 아빠 차 타고 와서요. 
237,그렇죠. 이거 도시괴담급이라고요. 오늘 어디 실기대회 가시나 봐요! 그리고 나중에 실기 볼 때 신문지도 챙겨가라고 하시더라고요. 선생님이 시험 볼 때 창문으로 햇빛이 쫘아아악 들어와서 고생했다고 다음부터 신문지 가져가서 붙이시고요.,"아, 신문지요? 아뇨. 저 실기대회가 아니라 학교 가고 있어요. 햇빛 쫘! 들어오는 거 저도 당해 봤어요. 그림도 안 보이고 정말 덥고 저도 신문지를 챙겨 다녀야 할까요? 주섬주섬 신문지 붙이면 너무 귀여울 것 같아요."
238,누나도 더 키 컸으면 좋겠어요! 시아가 응원하고 있어요.,난 지금도 괜찮아요. 누나 163인걸요?
239,이젠 좀 괜찮아요.,그렇군요. 다행이에요. 언니 목소리 들으니까 목도 많이 나은 것 같네요. 
240,그러게요. 계속 봄이었으면 좋을 텐데. 나중에 이거보다 더 더워질거 생각하면 끔찍하네요.,봄이 좋은데. 일본에 칠월 여름 사박오일이 떠오르네요.
241,저녁이 되어 갈수록 미니멈이 올라가서 무서워요.,왜죠? 장삿속인가요! 
242,"아, 진짜 1팀 공식 귀염둥이네요.",회사 근처 장난감 가게 가면 혜운이를 볼 수 있을 거예요.
243,제가 지금 딱 그 상태예요.,이게 같이 밥 먹는 사람들이 잘 도와주면 그래도 버틸만한데 그게 아니면 정말 힘들어요. 옆에서 맛있는 거 먹는 거 보면 나는 먹고 싶은데 살은 빼야겠고 저걸 먹으면 내가 운동을 얼마나 더 해야 하나 그거부터 계산하고 있고요.
244,그니까요. 진짜 출근할 맛 더 안 나요. 금요일에 내가 11시 넘어서 병원 갔다가 1시 넘어서 왔는데 이모가 1시 넘어서 와서 일도 안 하고 5시에 퇴근한다고 구시렁거리고 토요일에 출근했더니 너 어제 병원 갔다 와서 액세서리도 다 정리 못했다고 그러는 거예요.,아. 너무 그만두고 싶겠어요. 
245,손님도 많이 없어서 누워서 아르바이트해요. 진짜로 거짓말 안 하고요.,아니! 무슨 아르바이트하세요?
246,정말 트림 메들리기 때문에 기분이 너무 안 좋기 때문이죠. 밥은 사무실에서 드시나요? 같이 먹는 사람 쩝쩝거리는 거 저도 너무 싫어요. ,아니요. 식당요. 혼자 맥도날드나 서브웨이 가고 싶은 평일 점심시간이지만 저보다 나이 20살 이상 많으신 상사들은 밥 혼자 먹으면 죽는 줄 아시기 때문에 거의 절 혼자 먹게 두지 않으세요.
247,그래 보여요? 나 지금 엄청 떨고 있는데요 나름. ,개수작은 됐고요. 이 근처 살아요? 저 반찬가게 주인 전화번호 아나해서요. 
248,"아, 그렇군요! 대구에 계신다니 더 반갑네요.",반가워요!
249,쉬는 중이나 손님이 없을 땐 듣고 있다만 음악이 귀에 잘 들어오지 않아서 말이에요. 나름 시간을 잘 보내려고 노력은 하는 중이에요. ,그러고보니 아저씨 취미가 뭐에요? 술하고 시가 말고는 생각이 안 나는데요. 책 읽기라든지 뜨개질 같은걸 하실까요? 
250,  ,"와, 엄청 멋있네요! 나도 일본 가고 싶어요."
251,그 걱정이 없는 건 사실이에요.,부럽네요. 
252,네. 가격 보고 할 수 있으면 전신으로다가 하려고요.,눈썹과 머리도요?
253,그럼 가지 마요! 같이 게임해요.,그럴까요. 진짜 오늘따라 왜 이렇게 가기 싫을까요. 가봤자 모델링 밖에 안 잡기도 하고요.
254,보리차요.,슬프네요.
255,거리가 문제네요.,그렇죠. 멀죠. 
256,얼른 먹어요. ,수업 들어왔어요. 교수님이 바로 앞에 있어요.
257,갈릭이랑 베이컨 먹었는데 진짜 맛있었어요! 근데 양 엄청 많아요.,맞아요. 전 맥주도 같이 먹었었는데 양 많아서 좀 힘들었어요. 또 먹고 싶네요.
258,저희 먹은 곳 맞은편이 고수 닭갈비인데 거기 옆이에요.,다음에 전주 가면 가야겠어요!
259,동생은 몰랐지만 사실 그게 맞아요.,맞춰서 만들어 준 거 보니 맞는 게 분명해요.
260,"아니, 진짜 그렇네요. 예쁜아 그건 떨구는 거 아니에요.",근데 펭구 알레르기 있어요. 알아요? 
261,도원경만 나왔어요! ,나도 부르러 가야겠어요.
262,살만한데요? 언제 사러 갈까요? ,이번 주 안에 가요. 내일 갈래요?
263,그러게나 말이에요. 당장 이번 주까지 모형 만들어 오라는데 인생 망한 것 같아요.  중간 마감한 것도 사진 다시 찍어야 되는데 조원이 동아리 들고 가서는 다 부셔서 왔어요. 나 조만간 등에 날개 돋을 것 같아요. ,빨리 승천해요. 듣기만 해도 화나네요. 언니 종강 언제 해요.  나랑 밥 먹어요. 술도 마셔요.
264,무슨 맛 좋아해요? 보라색 블루베리? ,마카롱은 레몬맛이나 초코나 다 좋아요! 
265,회사 이름만 알면 갈 텐데요. 어떻게 해보는 건데 말이에요.,그러게요. 꿈의 회사네요.
266,"아, 그 느낌 알아요. 진짜 막 그냥 상상하기도 싫은 바람이죠. 숨 쉬는데 쉬는 것 같지도 않고요. 지금 밖이세요? ",강의 끝나서 나왔는데 숨이 턱턱 막혀서 카페로 피신했어요.
267,자기 피부에 맞는 거 쓰는 게 좋으니까 네이처 상품이 맞으면 그걸 쓰는 게 좋죠! ,아직까지는 이거다 싶은 게 안 나와서 이곳저곳 전향 중이에요.
268,뭐 올 때 다 버리고 오면 되죠! 저 화장품이랑 운동화랑 옷이랑 다 버리고 왔어요.,저도 수건이랑 다 버리고 와야겠다 하고 쌌는데 그래도 많아요. 먹을 거 빼면 그래도 기념품 넣을 자리는 있겠죠? 
269,"아, 진짜 벌써 더워서 어쩌죠?","아직 여름은 시작도 안 했는데요. 진짜 여름 싫어요. 땀나고, 덥고, 이래 놓고 겨울 오면 겨울 추워서 싫다고 그러겠죠?"
270,첫 공연이 4시인데 그것 가야 해요. 나 그날 휴무 냈어요. 오후에는 할머니댁 바로 가야 돼서요. ,나도 취소표 같이 해볼게요. 잡아봐요. 첫 공연 4시로요.
271,합정에 있는 쿡앤북이라고 해요! 한번 가보세요! 맘에 드실거예요! 저도 나중에 한번 더 와서 다른 음식도 먹어보려고요!,검색해봐야겠어요. 감사해요! 저는 원래 채식을 좋아해서 저런 식당을 찾고 있었어요. 꼭 가볼게요.
272,좀 그러겠죠?,서점에서 일하시는 분들 보면 막 책도 몇 권씩 쌓아서 나르던데 잘 못 하면 다칠 것 같아요.
273,비행기를 부숴버릴 거예요. 맨날 지연돼요.,왜 그래요 진짜?
274,"집에 막창 없어요? 소막창이랑 돼지곱창, 막창 이런 거 보통 있지 않나요? ",네? 전 집에 쌀하고 김치만 있는데요? 
275,맛있겠어요. 중국음식에 맥주 마시고 싶어요. ,뭘 좀 아시는군요. 사실 제가 다니던 대학교 후문 그러니까 춘천에 맛있는 국본토 요리집이 있어서 거기서 이것저것 알게 된 거예요. 그 전까진 중화요리만 먹어봤었는데 거기서 먹고 반해버렸어요.
276,네.,일본 가면 먹어볼게요.
277,최대한 손 안 대는 게 좋아요! 저도 며칠 전에 다래끼 났었는데 5월은 다래끼의 계절인가 봐요.,"아, 진짜요? 손대지 말아야겠어요. 저랑 아르바이트하던 분도 다래끼 있었는데 옮은 거 아닐까 예상해봐요. 요즘 미세먼지도 많아서 그런가 봐요. 그래도 이제 나으셨나 봐요. 다행이에요."
278,"아, 저도 훠궈 사진 슬쩍 몇 개 봤었던 거 같은데 이건 진짜 빨간 거 같아요. 그렇지만 속 보호 한약재라니 뭔가 아이러니하군요. 저도 이번 여름에 훠궈의 세계로 떠날래요.",매운 것과 얼얼한 것이 별개로 느껴질 수 있는 그러한 신세계를 열어준 음식이었어요. 입에 잘 맞으시면 좋겠어요! 훠궈는 진짜 맛있으니까요! 
279,그날 이미 약속있어요.,뿌꾸 바쁘시네요.
280,내년에도 지구님 꼭 사진전 여실거라고 믿어요. 이번에 못 가게 되서 엄청 아쉬웠거든요. 뒤에서 엄청 응원하고 있어요! ,저도 오느키님 사진 맨날 구경해요. 그러다가 제 글에 댓글 달아주시면 얼마나 내적 친분을 쌓는지 몰라요.
281,다이어트 이런 거 말고 선수들이 연습하듯이 배우고 싶어요.,마음 같아서는 내가 예전에 있던 체육관에 데려가고 싶은데 너무 멀어요.
282,끌리네요.,사실 메이플과 트위터만 지운다면 가능하다고 봐요.
283,이게 여자든 남자든 똑같다는 거예요. 방금은 할머니가 그래서 싫었어요. 할머니가 언니! 아가씨! 하시더라고요. ,그 할머니 다급하셨나 보네요.
284,근데 마실 게 없어요.,우유는요? 
285,얼마나 맛있는 걸 드시고 오셨길래 그럴까요. 육류나 회 아니면 인정할 수 없어요.,사진은 없고 저희 동네에 정말 맛있는 돈까스랑 메밀하는 집이 있어서 오랜만에 시켜 먹었는데 진짜 감동적인 맛이라서 좀 행복해졌어요.
286,폰은 괜찮은데 외국 애들이 게임을 한국보다 덜한다는 게 이해가 가요. 이유는 인터넷인 거군요.,진짜 이해가는 부분이고요. 그 인터넷을 가지고 게임하는 사람들 존경해요. 
287,맞아요. 옴브레로 하고 싶었는데 가격도 만만치 않더라고요. ,맞아요. 가격이 너무해요. 그렇다고 싼 데 가서 하자니 믿음이 안 가고요. 왜 이렇게 이쁜 건 다 비쌀까요?
288,그러게요. 좋네요. 한 시간에 만 원이면 저도 하고 싶군요. ,그렇죠! 내일은 다시 9시에서 6시까지지만요. 
289,"아이, 기분 좋아요. 하나도 외롭지 않아요.","아하, 괜찮아요 괜찮아. 얼른 잠을 자면 괜찮아 질 거예요."
290,부산 놀러 오세요!,이번에 부산국제영화제 오면 갈까 봐요. 진심으로 학교 제치고 갈 수 있을 것 같아요.
291,거기 별로일걸요. 집 근처라서요. ,역시 경기도 조목왕이에요.
292,좋아요. 오늘 착실하게 집에 있었으니 나갈래요.,그런 것 같아서요. 언제 만날래요? 
293,"와, 양심이, 화학물질 바르고 판단 말인가요? 그거 보건복지부에 걸리지 않나요? 사람들이 왜 외국제를 산다고 하는지 알 거 같네요. 그냥 우리나라는 수입만 하면 좋겠어요. 도대체 왜 만들어 파는 거지 돈에만 눈이 멀어서 그런가요.",얼마 전에 발암물질도 나와서 한창 뒤집어졌죠. 가끔 우스갯소리로 냄새 나는데 너 생리하니?도 웃긴게 혈이 생리대의 화학성분이랑 만나면 냄새가 그렇게 독해져요. 그러니 외국산을 쓰거나 생리컵이 답이에요.
294,네. 이상하게 너무 튀어 별로예요. 차라리 야채피자가 더 좋아요.,야채 맛있나요?
295,이번에 화장대랑 책상이랑 다 버렸거든요. 확실히 시야가 트여서 방이 더 깨끗해 보이긴해요!,"아아, 그렇구나 가구가 적을 수록 방이 더 넓어보이고 좋죠. "
296,둘 다 합쳐서 17만 6천 원쯤이에요.,"아, 턱도 없군요."
297,그럼 이번 주 안에 입금 드리고 연락드릴게요! 택배비도 알려주세요! ,택배비 이천오백 원이요! 
298,아픈 정도는 아니에요! 걱정해줘서 고마워요. 역시 너밖에 없어요.,색소 아프면 속상해요.
299,"전 검사 하고 확진 후에 강도 보고 약 처방한대요. 일 년에 한, 두 번씩 증상이 찾아오는 건 어쩔 수 없다고 하네요.",저는 그냥 허름하고 낡은 곳 가서 우울증 검사하고 종이에 그냥 볼펜으로 끄적이는 거 약 타다 먹고 있어요. 사람이 죽으려 하는데 일단 검사하라니 너무 잔인한 거 같아요.
300,등이요? ,"그그, 뭐라고 해야죠? 손잡이 톡 나오는 평평한 부분이요? "
301,조화는 자존심이 허락하지 않아요. ,"조화도 이 정도면, 아니에요.  "
302,"아, 휴학한 친구 만나느라요. 팔월님이야말로 점심 안 먹었잖아요. 좋아요. 랜선 식사해요.","수업이 쭉 연강이었는걸요, 켕님은 뭐 먹을 거예요?"
303,이미 주문했는데 한 개 더 해달라고 할까요? ,네. 혹시 되면 부탁드려요. 안 돼도 어쩔 수 없지만요.
304,어딘데요?,"역곡 복사골뼈다귀, 부천 돈돈정, 코코이치방야 그리고 재차 가고싶은 곳은 역곡 버거 크루, 모야그집 부천 토니버거, 치킨사냥이에요. 지금은 사라져서 못 가본 인하대 후문에 있는 식객도요."
305,어딘데요?,"역곡 복사골뼈다귀, 부천 돈돈정, 코코이치방야 그리고 재차 가고싶은 곳은 역곡 버거 크루, 모야그집 부천 토니버거, 치킨사냥이에요. 지금은 사라져서 못 가본 인하대 후문에 있는 식객도요."
306,쯘님 이른 아침엔 조기축구회 아저씨들이 떠들어서 까치도 막 깍깍 거렸어요. 조기축구회 아저씨가 벽에다 공차면서 연습도 했고요. 네. 퇴근해서 집에 가고 있어요.,이런 조기축구회 인간들! 꼭 발 끝에 볼이 스치지도 않는 것들이 연습한답시고 시끄럽게 떠들고 말이에요! 남의 집 담벼락에 연습하고! 까치 너희들 정신 안 차려요! 어디서 깍깍 거리고있어요.
307,"아뇨, 그건 별로예요.",역시 일식 카레죠? 
308,저도 보고 싶은데 그 날은 교정비용 환불 상담도 있고 해서 고모랑 같이 가게 돼서요. 같이 디오 카페 가야 하는데 말이죠.,그러니까요.
309,다들 담합 하셨나요. 너무해요.,저도 그거 할까 봐요. 4월 까지 방탈출에 쓴 돈 합치면요.
310,전 공연 보러 한번 갔었는데 행사는 더 못 가겠어요. 최소 1박 생각하고 가는 거 아니면 진짜 죽음의 스케줄이에요.,부스 도는데 진짜 힘들었어요. 진짜 한 번 가면 1박은 해야지 당일치기는 진짜 죽겠더라고요. 그래서 고이 접기로 했어요.
311,"아, 저 당고 그 때 먹은 당고의 맛을 잊을 수가 없어요. 서울 당고 맛 집 갔는데도 그때의 맛이 아니었어요. 저도 푸딩 진짜 좋아해요. 저번에 녹차푸딩 먹었었는데 그거도 정말 사랑했어요. 나중에 이불님이랑 일본 여행 가고 싶어요! ","솜님과 말랑말랑한 음식을 같이 좋아해서 괜히 기뻐요. 보들보들한 음식 최고예요. 해외여행 한 번 가보고 싶긴 한데, 왜 전 부자가 아닐까요, 왜 수험생일까요? 솜님이랑 여행 가고 싶어요."
312,무엇보다도 남산 코밑이지요.,아하!
313,"몰라, 너무 배 아파요.","진짜, 제대로 보고 먹어요!"
314,몰라요. 아주 나 응급실 vip에요.,응급실 무서워요.
